Guingamp;FRA;71;Stade de Roudourou;Sylvain Ripoll;FRA;FF0000;000000;18000
Adrián Ortolá;G;ESP;N;32;E;N;Rbo;Con;0
Noah Marec;G;FRA;N;21;E;N;Ref;Fri;0
Teddy Bartouche-Selbonne;G;GLP;N;29;D;S;Col;Imp;0
Erwin Koffi;L;FRA;N;31;D;S;Cru;Vel;0
Jérémie Matumona;L;FRA;N;20;D;N;Mar;Agi;0
Tuomas Ollila;L;FIN;N;26;E;N;Pas;Ace;0
Vimoj Muntu;L;FRA;N;21;E;N;Cru;Vel;0
Albin Demouchy;Z;FRA;N;24;D;S;Cab;Res;0
Donatien Gomis;Z;SEN;N;31;D;S;Mar;Vel;0
Idriss Planeix;Z;FRA;N;19;D;N;Des;Imp;0
Jeovanni Dianganga;Z;BEL;N;26;D;S;Des;For;0
Dylan Louiserre;V;FRA;N;31;D;S;Ant;Con;0
Tanguy Ahile;V;FRA;N;21;D;N;Mar;For;0
Tom Ducrocq;V;FRA;N;26;D;N;Mar;Res;0
Amine Hemia;M;FRA;N;28;D;S;Chu;Vis;0
Darly N'Landu;M;FRA;N;26;E;S;Fin;Res;0
Florent Sanchez;M;FRA;N;23;D;N;Pas;Agi;0
Jasser Chamakh;M;FRA;N;22;D;N;Dri;Agi;0
Joël Matondo;M;FRA;N;21;D;N;Pas;Res;0
Samir Ben Brahim;M;FRA;N;23;D;N;Dri;Agi;0
Amadou Samoura;P;FRA;N;22;D;N;Arm;Ace;0
Gautier Ott;P;FRA;N;24;E;S;Fin;Cri;0
Teddy Averlant;P;GAB;N;26;D;S;Fin;Ace;0
Stanislas Kielt;A;FRA;N;24;D;S;Chu;Imp;0
