Cerro Largo;URY;77;Arq. Antonio Eleuterio Ubilla;Danielo Núñez;URY;173070;FFFFFF;9000
Lukas González;G;URY;N;24;D;N;Sgo;Fri;0
Pedro González;G;PRY;N;27;D;S;Col;For;0
Facundo Acosta;L;URY;N;20;D;N;Pas;Agi;0
Facundo Alvez;L;URY;N;19;D;N;Pos;Ace;0
Julián Pou;L;URY;N;22;D;N;Pas;For;0
Mateo Monserrat;L;ARG;N;21;D;N;Cru;Ace;0
Santiago Franca;L;URY;N;23;E;S;Cru;Vel;0
Alexis Piegas;Z;URY;N;24;D;S;Ant;Imp;0
Axel Prado;Z;URY;N;23;E;N;Mar;Vel;0
Lucas Correa;Z;URY;N;30;D;S;Pos;Res;0
Martín Gianoli;Z;URY;N;25;E;N;Ant;Imp;0
Nicolás Ramos;Z;URY;N;21;D;N;Mar;Vel;0
Emiliano Jourdan;V;URY;N;22;E;N;Chu;For;0
Nicolás Bertocchi;V;ARG;N;37;D;N;Des;Vis;0
Sebastián Assís;V;URY;N;33;D;S;Des;Con;0
Axel Pandiani;M;URY;N;26;E;S;Chu;Fri;0
Ezequiel Cabral;M;URY;N;28;D;N;Chu;Cri;0
Mario García;M;URY;N;26;D;S;Fin;Vis;0
Santiago Marcel;M;URY;N;24;D;S;Dri;Cri;0
Alexander Hernández;P;URY;N;22;D;S;Cru;Agi;0
Alexis Segovia;P;ARG;N;22;E;N;Cru;Agi;0
Alfonso de Luca;P;URY;N;20;D;N;Dri;Agi;0
Andrés Córdoba;P;COL;N;28;D;N;Fin;Agi;0
Brian Lozano;P;URY;N;32;D;N;Dri;Ace;0
Bruno Hernández;P;URY;N;21;E;N;Dri;Vel;0
Gustavo Viera;P;URY;N;25;D;S;Cru;Vel;0
Lucas Píriz;P;URY;N;24;D;N;Dri;Agi;0
Borys Barone;A;URY;N;32;D;N;Fin;Res;0
Diego Daguerre;A;URY;N;21;D;S;Fin;For;0
Elías de León;A;URY;N;21;E;N;Cab;Imp;0
