Treze;BRA;48;Amigão;Adriano Souza;BRA;FFFFFF;000000;19000
Erivelton;G;BRA;N;33;D;S;Ref;Fle;0
Lucas Matheus;G;BRA;N;23;D;N;Rbo;Con;0
Carlos Jesus;L;BRA;N;25;E;S;Des;Agi;0
Fernandinho;L;BRA;N;33;E;N;Pas;Ace;0
Juninho Piancó;L;BRA;N;21;D;N;Mar;Agi;0
Luan;L;BRA;N;23;E;N;Des;Vel;0
Léo Azevedo;L;BRA;N;24;E;N;Pos;Vel;0
Natan Masiero;L;BRA;N;24;D;S;Pos;Vel;0
Pedro Ivo;L;BRA;N;22;D;N;Pas;Vel;0
Diego Clemente;Z;BRA;N;32;D;N;Des;For;0
Felipe Santana;Z;BRA;N;21;D;N;Cab;Imp;0
John Lessa;Z;BRA;N;25;E;S;Pos;Con;0
Matheus Barbosa;Z;BRA;N;26;A;S;Des;For;0
Vital;Z;BRA;N;26;D;N;Mar;For;0
Yan;Z;BRA;N;27;D;S;Mar;Con;0
Ítalo Melo;Z;BRA;N;27;D;N;Pos;Vel;0
Gabriel Feitosa;V;BRA;N;22;D;N;Mar;Con;0
Gustavo Petrocelli;V;BRA;N;26;D;S;Des;Vis;0
Marquinhos;V;BRA;N;32;D;S;Pas;Vis;0
Vinícius Michelon;V;BRA;N;26;D;N;Pas;Res;0
Giovane;M;BRA;N;28;D;N;Pas;Vis;0
Thiago Alagoano;M;BRA;N;37;D;N;Fin;Vis;0
Gustavo Brinquedo;P;BRA;N;24;E;N;Arm;Agi;0
Jean Carlo;P;BRA;N;33;E;S;Fin;Agi;0
Kauã Giancler;P;BRA;N;22;D;N;Fin;Res;0
Vinícius Bala;P;BRA;N;28;D;S;Fin;Agi;0
Buba;A;BRA;N;33;D;S;Fin;For;0
Dioran;A;BRA;N;23;D;N;Fin;Vel;0
Pedro Maycon;A;BRA;N;31;D;N;Pas;Vel;0
Zé Felipe;A;BRA;N;23;A;N;Pas;Vel;0
