Wrexham;ENG;78;STōK Cae Ras;Phil Parkinson;ENG;F40B12;004732;13000
Anthony Patterson;G;ENG;N;25;D;N;Col;Con;0
Arthur Okonkwo;G;ENG;N;24;D;S;Ref;Fle;0
Aaron James;L;ENG;N;21;D;N;Mar;Vel;0
Danny Imray;L;ENG;N;22;D;N;Des;Vel;0
Issa Kaboré;L;BFA;N;25;D;N;Cru;Vel;0
Jacques Ekomié;L;GAB;N;22;E;N;Pas;Ace;0
Liberato Cacace;L;NZL;N;25;E;N;Des;Agi;0
Ryan Barnett;L;ENG;N;26;D;N;Cru;Ace;0
Callum Doyle;Z;ENG;N;22;E;S;Ant;Con;0
Dominic Hyam;Z;SCT;N;30;D;S;Mar;Con;0
Joe Worrall;Z;ENG;N;29;D;N;Des;Vel;0
Max Cleworth;Z;ENG;N;23;D;S;Cab;Imp;0
Zak Vyner;Z;KEN;N;29;D;N;Des;Vel;0
Ben Sheaf;V;ENG;N;28;D;S;Pas;Con;0
George Dobson;V;ENG;N;28;D;S;Des;Res;0
Joe Rees;V;WLS;N;18;A;N;Pas;Agi;0
Alex Moore;M;ENG;N;19;D;N;Pas;Agi;0
Ben Whiteman;M;ENG;N;30;D;N;Pas;Vis;0
Callum O'Hare;M;ENG;N;28;D;N;Arm;Agi;0
George Thomason;M;ENG;N;25;E;N;Arm;Res;0
Josh Windass;M;ENG;N;32;D;S;Fin;Vis;0
Lewis O'Brien;M;ENG;N;27;E;S;Arm;Vis;0
Matty James;M;ENG;N;34;D;S;Pas;Vis;0
Oliver Rathbone;M;ENG;N;29;D;N;Fin;Agi;0
Nathan Broadhead;P;WLS;N;28;D;N;Fin;Agi;0
Ryan Longman;P;ENG;N;25;D;S;Cru;Vel;0
Bailey Cadamarteri;A;JAM;N;21;D;N;Fin;Vel;0
Davis Keillor-Dunn;A;ENG;N;28;D;N;Fin;Fri;0
Kieffer Moore;A;WLS;N;33;D;S;Cab;For;0
Sam Smith;A;ENG;N;28;E;N;Fin;For;0
