Sheffield United;ENG;78;Bramall Lane;Chris Wilder;ENG;EC2227;010101;32500
Adam Davies;G;WLS;N;33;D;N;Ref;Con;0
Michael Cooper;G;ENG;N;26;D;S;Ref;Con;0
Femi Seriki;L;ENG;N;24;D;S;Cru;Vel;0
Harrison Burrows;L;ENG;N;24;E;S;Cru;Res;0
Jamie Shackleton;L;ENG;N;26;D;N;Pas;For;0
Matt Doherty;L;IRL;N;34;D;S;Pos;For;0
Norrington-Davies;L;WLS;N;27;E;N;Des;For;0
Sam McCallum;L;ENG;N;25;E;N;Cru;For;0
Japhet Tanganga;Z;ENG;N;27;D;S;Ant;For;0
Liam Kitching;Z;ENG;N;26;E;N;Des;Imp;0
Mark McGuinness;Z;IRL;N;25;D;S;Cab;Imp;0
Nils Zätterström;Z;SWE;N;21;E;N;Pos;Con;0
Hamza Choudhury;V;BGD;N;28;D;N;Des;Res;0
Jaïro Riedewald;V;NLD;N;29;E;S;Pas;Con;0
Joe Rothwell;M;ENG;N;31;D;N;Dri;Agi;0
Oliver Arblaster;M;ENG;N;22;D;N;Pas;Vis;0
Sydie Peck;M;ENG;N;21;D;S;Pas;Res;0
Tahith Chong;M;CUW;N;26;E;N;Dri;Agi;0
Ehije Ukaki;P;NGA;N;21;D;S;Arm;Agi;0
Romelle Donovan;P;ENG;N;19;E;N;Pas;Res;0
Patrick Bamford;A;ENG;N;32;E;S;Fin;For;0
Ryan Oné;A;SCT;N;20;E;N;Chu;For;0
Tom Cannon;A;IRL;N;23;D;N;Fin;Fri;0
Tyrese Campbell;A;ENG;N;26;E;S;Fin;Vel;0
