Cerro;URY;74;Estadio Luis Tróccoli;Alejandro Cappuccio;URY;FFFFFF;0094DE;18000
Diego Capdevila;G;URY;N;23;D;N;Ref;Imp;0
Yonatan Irrazábal;G;URY;N;38;D;S;Col;Con;0
Damián Suárez;L;URY;N;38;D;S;Pos;For;0
Francisco Bregante;L;URY;N;22;E;S;Mar;Res;0
Gianni Rodríguez;L;URY;N;32;E;S;Pas;Res;0
Mateo Argüello;L;URY;N;24;D;N;Cru;Vel;0
Ariel Lima;Z;URY;N;21;E;S;Mar;Vel;0
Facundo Butti;Z;ARG;N;26;E;N;Cab;Vel;0
Juan Cruz Guasone;Z;ARG;N;25;D;S;Ant;For;0
Martín Farías;Z;URY;N;22;D;N;Des;Vel;0
Nahuel Arena;Z;ARG;N;28;D;N;Mar;Vel;0
Alejo Macelli;V;ARG;N;28;D;S;Ant;Con;0
Emiliano Sosa;V;URY;N;28;D;N;Chu;For;0
Jairo Amaro;V;URY;N;23;D;S;Mar;For;0
Agustín Miranda;M;URY;N;33;D;N;Fin;Agi;0
Brahian Alemán;M;URY;N;36;E;S;Pas;Res;0
Brian Quinteros;M;URY;N;21;D;N;Dri;Fri;0
Ezequiel Forclaz;M;ARG;N;23;D;N;Pas;Vis;0
Leonardo Pais;M;URY;N;32;D;N;Pas;Cri;0
Pablo Da Silveira;M;URY;N;22;D;N;Arm;Vis;0
Pablo Nongoy;M;URY;N;22;D;N;Pas;Agi;0
Rodrigo Mederos;M;URY;N;21;D;S;Dri;Agi;0
Alejandro Severo;P;URY;N;20;D;N;Dri;Vel;0
Axel Méndez;P;URY;N;21;D;N;Cru;Agi;0
Cristian Barros;P;URY;N;26;D;S;Arm;Ace;0
Nahuel Sena;P;URY;N;22;E;N;Dri;Vel;0
Augusto Cambón;A;URY;N;21;D;N;Fin;Fri;0
Bruno Morales;A;URY;N;21;D;N;Dri;Fri;0
Emiliano Rodríguez;A;URY;N;23;E;N;Chu;Vel;0
Tiago Rijo;A;URY;N;21;D;N;Dri;Vel;0
