Vélez Sarsfield;ARG;83;José Amalfitani;Guillermo Schelotto;ARG;FFFFFF;2342DB;49500
Facundo Sanguinetti;G;ARG;N;25;D;S;Ref;Con;0
Tomás Marchiori;G;ARG;N;30;D;N;Ref;Con;0
Álvaro Busso;G;ARG;N;19;E;N;Rbo;Imp;0
Demián Domínguez;L;ARG;N;20;D;N;Cru;Vel;0
Elías Gómez;L;ARG;N;31;E;S;Pas;For;0
Jano Gordon;L;ARG;N;21;D;S;Mar;Ace;0
Joaquín García;L;ARG;N;24;D;S;Pas;Agi;0
Emanuel Mammana;Z;ARG;N;30;D;S;Des;Vel;0
Leo Cristaldo;Z;PRY;N;17;E;N;Mar;Imp;0
Lisandro Magallán;Z;ARG;N;32;D;S;Pos;Con;0
Thiago Silvero;Z;ARG;N;19;D;N;Ant;Res;0
Claudio Baeza;V;CHL;N;32;D;S;Mar;Vis;0
Diego Valdés;M;CHL;N;32;D;S;Arm;Res;0
Lucas Robertone;M;ARG;N;28;D;N;Chu;Cri;0
Manuel Lanzini;M;ARG;N;33;D;S;Pas;Agi;0
Matías Arias;M;ARG;N;18;E;N;Dri;Res;0
Rodrigo Aliendro;M;ARG;N;35;D;N;Dri;Res;0
Matías Pellegrini;P;ARG;N;25;D;S;Pas;Ace;0
Álex Verón;P;ARG;N;17;E;N;Fin;Res;0
Dilan Godoy;A;ARG;N;20;D;N;Cab;For;0
Ronaldo Martínez;A;PRY;N;30;D;S;Chu;Res;0
