Kashima Antlers;JPN;82;Kashima Soccer Stadium;Toru Oniki;JPN;C5002E;FFFFFF;40500
Haruto Fujii;G;JPN;N;23;D;N;Ref;Fle;0
Taiki Yamada;G;JPN;N;24;E;N;Ref;Imp;0
Tomoki Hayakawa;G;JPN;S;27;D;S;Ref;Con;0
Yuji Kajikawa;G;JPN;N;35;D;N;Rbo;Con;0
Koki Anzai;L;JPN;N;31;D;N;Cru;Agi;0
Rikuto Hirose;L;JPN;N;30;D;S;Cru;Res;0
Ryoya Ogawa;L;JPN;N;29;E;S;Pas;For;0
Ryuta Koike;L;JPN;N;30;D;N;Pos;Res;0
Anthony Motosuna;Z;JPN;N;17;D;N;Ant;Vel;0
Ikuma Sekigawa;Z;JPN;N;25;D;S;Des;For;0
Kaito Chida;Z;JPN;N;31;D;N;Mar;For;0
Keisuke Tsukui;Z;JPN;N;22;D;N;Mar;Vel;0
Naomichi Ueda;Z;JPN;N;31;D;S;Cab;For;3
Tae-hyeon Kim;Z;KOR;N;25;E;N;Pos;Con;0
Yugo Okawa;Z;JPN;N;19;E;N;Mar;For;0
Kento Misao;V;JPN;N;30;D;S;Des;Res;0
Gaku Shibasaki;M;JPN;N;34;D;N;Arm;Vis;4
Haruki Hayashi;M;JPN;N;22;D;N;Dri;Res;0
Matheus Bueno;M;BRA;N;28;D;S;Pas;Res;0
Yuta Higuchi;M;JPN;N;29;D;N;Arm;Vis;2
Yuta Matsumura;M;JPN;N;25;D;S;Dri;Agi;0
Aleksandar Cavric;P;SVK;N;32;D;N;Dri;Vel;0
Yan Matheus;P;BRA;N;27;E;S;Cru;Vel;0
Élber;P;BRA;N;34;D;N;Dri;Vel;0
Homare Tokuda;A;JPN;N;19;D;N;Fin;For;0
Kyosuke Tagawa;A;JPN;N;27;E;N;Fin;Vel;0
Léo Ceará;A;BRA;S;31;D;S;Fin;Fri;6
Minato Yoshida;A;JPN;N;18;D;N;Chu;Vel;0
Yuma Suzuki;A;JPN;S;30;D;S;Pas;For;0
