Fortaleza;BRA;72;Castelão;Paulo Autuori;BRA;0C5FAA;F0362D;63500
João Ricardo;G;BRA;N;37;D;N;Col;Con;0
Magrão;G;BRA;N;26;D;N;Col;Imp;0
Vinícius;G;BRA;N;32;D;S;Sgo;For;0
Gabriel Fuentes;L;COL;N;29;E;S;Cru;For;0
Kaio Henrique;L;BRA;N;20;E;N;Des;Agi;0
Maurício Mucuri;L;BRA;N;25;A;S;Cru;Res;0
Maílton;L;BRA;N;28;D;S;Cru;For;0
Paulinho;L;BRA;N;21;D;N;Pas;Agi;0
Kauã Rocha;Z;BRA;N;19;D;N;Cab;Imp;0
Luan Freitas;Z;BRA;N;25;D;S;Des;Con;0
Lucas Gazal;Z;BRA;N;26;D;S;Pos;Con;0
Neris;Z;BRA;N;34;D;N;Des;For;0
Tomás Cardona;Z;ARG;N;30;E;N;Cab;For;0
Lucas Sasha;V;BRA;N;36;A;S;Des;Res;0
Rodrigo Santos;V;BRA;N;25;D;S;Mar;For;0
Ronald;V;BRA;N;23;D;N;Ant;For;0
Ryan;V;BRA;N;23;E;N;Pas;Con;0
Lucas Crispim;M;BRA;N;32;D;N;Arm;Cri;0
Lucas Emanoel;M;BRA;N;20;E;N;Fin;Cri;0
Lucca Prior;M;BRA;N;22;E;N;Fin;Fri;0
Pierre;M;BRA;N;24;E;S;Pas;Vis;0
Luiz Fernando;P;BRA;N;29;D;S;Fin;Vel;0
Paulo Baya;P;BRA;N;26;D;N;Fin;Vel;0
Pedro Henrique;P;BRA;N;36;D;N;Fin;Agi;0
Rodriguinho;P;BRA;N;23;E;N;Arm;Agi;0
Vitinho;P;BRA;N;25;E;N;Fin;Agi;0
Welliton;P;BRA;N;26;D;N;Dri;Vel;0
Juan Miritello;A;ARG;N;27;D;S;Fin;Fri;0
Nathan Fogaça;A;BRA;N;26;D;N;Cab;For;0
