União de Leiria;PRT;70;Dr. Magalhães Pessoa;Fábio Pereira;PRT;FFFFFF;800000;23500
Christian Joel;G;CUB;N;27;E;N;Col;Imp;0
Jakob Odehnal;G;AUT;N;25;D;S;Col;Imp;0
Hugo Masaki;L;BEL;N;22;E;N;Des;For;0
Maga;L;PRT;N;27;D;S;Cru;Res;0
Marc Baró;L;ESP;N;27;E;S;Des;For;0
Leo Mascaró;Z;BLR;N;23;A;N;Pos;Vel;0
Marcelo;Z;BRA;N;37;D;S;Des;For;0
Víctor Rofino;Z;GNB;N;24;D;S;Mar;Con;0
Zé Pedro;Z;PRT;N;24;E;N;Cab;Imp;0
Diogo Amado;V;PRT;N;36;D;N;Mar;Con;0
Eboue Kouassi;V;CIV;N;28;D;N;Des;For;0
Hope Yusuf Linus;V;NGA;N;20;D;N;Pas;Agi;0
Ibrahima;V;FRA;N;27;D;S;Pas;For;0
Tharlley;V;BRA;N;22;D;N;Mar;For;0
Albert Lottin;M;FRA;N;24;D;S;Pas;Vis;0
Bernardo Gomes;M;PRT;N;22;D;N;Arm;Cri;0
Diogo Martins;M;PRT;N;30;D;N;Arm;Vis;0
Famana Quizera;M;GNB;N;24;D;N;Dri;Agi;0
Martim Almeida;M;PRT;N;21;D;N;Pas;Agi;0
Reko;M;PRT;N;31;D;N;Fin;Fri;0
Jaiminho;P;PRT;N;28;D;N;Dri;Res;0
Jair Silva;P;BRA;N;29;D;N;Cru;Res;0
Jordan van der Gaag;P;NLD;N;27;E;N;Arm;Res;0
Pedro Oliveira;P;PRT;N;20;E;N;Fin;Agi;0
Borislav Rupanov;A;BGR;N;21;D;N;Fin;For;0
Juan Muñoz;A;ESP;N;30;D;S;Fin;Fri;0
Nabil Ondó;A;GNQ;N;20;D;S;Fin;Vel;0
Pablo Fernández;A;ESP;N;29;D;S;Pas;For;0
Samuel Ntanda;A;COD;N;21;D;S;Dri;Vel;0
Stefan;A;MOZ;N;17;D;N;Pas;Res;0
