Estudiantes de Río Cuarto;ARG;72;Antonio Candini;Rubén Forestello;ARG;008CD1;FFFFFF;11000
Agustín Lastra;G;ARG;N;25;D;S;Ref;For;0
Lucas Bruera;G;ARG;N;28;D;N;Ref;Con;0
Facundo Cobos;L;ARG;N;33;E;N;Des;Res;0
Fernando Rodríguez;L;ARG;N;25;E;N;Mar;Agi;0
Gonzalo González;L;ARG;N;23;D;N;Pos;Res;0
Matías Ruiz Díaz;L;ARG;N;29;D;N;Cru;Ace;0
Raúl Lozano;L;ARG;N;28;D;N;Des;Agi;0
Valentín Fenoglio;L;ARG;N;22;D;N;Mar;Ace;0
Gonzalo Maffini;Z;ARG;N;33;D;S;Des;For;0
Juan Antonini;Z;ARG;N;27;D;S;Ant;Imp;0
Matías Valenti;Z;ARG;N;23;E;S;Mar;For;0
Sergio Ojeda;Z;ARG;N;34;D;S;Cab;Vel;0
Alejandro Cabrera;V;ARG;N;33;D;N;Pas;Con;0
Siro Rosané;V;ARG;N;26;D;N;Ant;Res;0
Francesco Lo Celso;M;ARG;N;26;E;N;Pas;Vis;0
Francisco Romero;M;ARG;N;27;D;S;Dri;Agi;0
Tomás González;M;ARG;N;27;A;S;Chu;Res;0
Gabriel Alanís;P;ARG;N;32;E;S;Pas;Cri;0
Ibrahim Hesar;P;SYR;N;32;D;N;Dri;Res;0
Juan Garro;P;ARG;N;33;E;N;Fin;Ace;0
Mauro Valiente;P;ARG;N;26;D;N;Pas;Agi;0
Nicolás Talpone;P;ARG;N;30;D;S;Cru;Vel;0
Francisco Galván;A;ARG;N;27;E;N;Cab;Vel;0
Javier Ferreira;A;PRY;N;34;D;N;Chu;For;0
Lucas González;A;ARG;N;28;D;N;Cab;Res;0
Martín Garnerone;A;ARG;N;27;D;S;Fin;Imp;0
Mateo Bajamich;A;ARG;N;26;D;S;Chu;Fri;0
Mauro Molina;A;ARG;N;26;D;N;Fin;For;0
Ramón Ábila;A;ARG;N;36;D;N;Pas;Res;0
Yeison Moreno;A;COL;N;29;D;N;Fin;Imp;0
