Málaga;ESP;83;La Rosaleda;Juan Funes;ESP;3399FF;FFFFFF;30000
Alfonso Herrero;G;ESP;N;32;D;S;Ref;Fle;0
Carlos López;G;ESP;N;21;D;N;Rbo;Imp;0
Adam Aznou;L;MAR;N;20;E;N;Des;Agi;0
Carlos Puga;L;ESP;N;25;D;S;Des;Vel;0
José Salinas;L;ESP;N;25;E;N;Pos;Ace;0
Rafita Garrido;L;ESP;N;21;D;N;Pas;Vel;0
Diego Murillo;Z;ESP;N;25;D;S;Des;Vel;0
Einar Galilea;Z;ESP;N;32;E;S;Pos;Con;0
Fernando Calero;Z;ESP;N;30;D;S;Ant;Res;0
Juan Berrocal;Z;ESP;N;27;A;N;Mar;Con;0
Moussa Diarra;Z;MLI;N;24;D;N;Mar;For;0
Álex Pastor;Z;ESP;N;26;D;N;Mar;Vel;0
Ángel Recio;Z;ESP;N;23;D;N;Pos;Vel;0
Aarón Ochoa;M;IRL;N;19;D;N;Dri;Agi;0
Carlos Dotor;M;ESP;N;25;D;S;Arm;Vis;0
Dani Lorenzo;M;ESP;N;23;D;S;Pas;Vis;0
Izan Merino;M;ESP;N;20;D;S;Pas;Vis;0
Pablo Martínez;M;ESP;N;28;D;N;Arm;Agi;4
Rafa Rodríguez;M;ESP;N;23;D;N;Fin;Cri;0
Ramón Enríquez;M;ESP;N;25;D;N;Pas;Vis;0
David Larrubia;P;ESP;N;24;E;S;Dri;Cri;0
Haitam Abaida;P;MAR;N;24;E;N;Dri;Agi;0
Joaquín Muñoz;P;ESP;N;27;A;S;Arm;Vel;0
Juan Cruz;P;ESP;N;26;E;N;Cru;Cri;0
Julen Lobete;P;ESP;N;25;D;N;Fin;Res;0
Adrián Niño;A;ESP;N;22;D;N;Fin;Imp;0
Chupe;A;ESP;N;21;D;S;Chu;Fri;0
Eneko Jauregi;A;ESP;N;30;D;N;Fin;For;0
