Erzurumspor;TUR;76;Erzurum Kazım Karabekir;Serkan Özbalta;TUR;005BBB;FFFFFF;21000
Erkan Anapa;G;TUR;N;28;D;N;Sgo;Imp;0
Ertuğrul Taşkıran;G;TUR;N;36;D;N;Col;For;0
Matija Orbanic;G;HRV;N;26;E;S;Ref;For;0
Cengizhan Bayrak;L;TUR;N;26;E;N;Cru;Vel;0
Festy Ebosele;L;IRL;N;24;D;N;Mar;Agi;0
Guram Giorbelidze;L;GEO;N;30;E;N;Cru;Ace;0
Orhan Ovacıklı;L;TUR;N;37;D;S;Pas;For;0
Amar Gerxhaliu;Z;XKX;N;24;D;S;Ant;Res;0
Enes Yiğit;Z;TUR;N;23;D;N;Mar;Vel;0
Mustafa Yumlu;Z;TUR;N;38;D;N;Des;Con;0
Nihad Mujakic;Z;BIH;N;28;E;S;Cab;For;0
Yakup Kırtay;Z;TUR;N;23;E;S;Pos;Vel;0
Yiğit Baran Karaoğlan;Z;TUR;N;20;D;N;Des;Res;0
Ömer Arda Kara;Z;TUR;N;18;E;N;Ant;Vel;0
Brandon Baiye;V;BEL;N;25;D;S;Mar;Res;0
Elisha Owusu;V;GHA;N;28;D;N;Des;Vis;0
Enes Karakaş;M;TUR;N;23;D;N;Fin;Vis;0
Martín Rodríguez;M;CHL;N;32;D;S;Dri;Vis;0
Mert Önal;M;TUR;N;22;D;N;Pas;Res;0
Murat Akpınar;M;TUR;N;27;D;N;Fin;Vis;0
Sefa Akgün;M;TUR;N;26;E;S;Chu;Fri;0
Fernando Andrade;P;BRA;N;33;D;S;Cru;Cri;0
Gyrano Kerk;P;SUR;N;30;D;N;Dri;Agi;0
Miguel Cardoso;P;PRT;N;32;D;N;Pas;Res;0
Mustafa Fettahoğlu;P;TUR;N;25;D;S;Cru;Vel;0
Akhundzada;A;AZE;N;22;E;N;Fin;For;0
Eren Tozlu;A;TUR;N;35;D;S;Pas;Vel;0
Ibrahim Diabate;A;CIV;N;26;D;N;Fin;Vel;0
İlkan Sever;A;TUR;N;21;D;N;Dri;Vel;0
Kerem Erener;A;TUR;N;20;D;N;Fin;Vel;0
