Sarmiento de Junin;ARG;75;Eva Perón;Facundo Sava;ARG;1B6345;FFFFFF;23000
Iván Arboleda;G;COL;N;30;D;S;Ref;Fle;0
Thyago Ayala;G;ARG;N;24;D;N;Ref;Fle;0
Gabriel Díaz;L;ARG;N;26;E;N;Pas;Vel;0
Jeremías Vallejos;L;ARG;N;23;D;N;Des;Agi;0
Juan Cabrera;L;ARG;N;26;D;N;Cru;For;0
Nicolás Pasquini;L;ARG;N;35;E;N;Mar;Agi;0
Thiago Santamaría;L;ARG;N;23;D;S;Cru;For;0
Agustín Seyral;Z;ARG;N;21;D;S;Ant;Vel;0
Gastón Arturia;Z;ARG;N;26;D;N;Pos;For;0
Insaurralde;Z;ARG;N;41;E;S;Cab;Res;0
Lucas Suárez;Z;ARG;N;31;E;S;Des;For;0
Renzo Orihuela;Z;URY;N;25;D;N;Ant;Res;0
Carlos Villalba;V;ARG;N;28;D;N;Pas;Vis;0
Elián Giménez;V;ARG;N;22;D;N;Des;For;0
Manuel García;V;ARG;N;27;D;S;Mar;Agi;0
Mauricio Martínez;V;ARG;N;33;D;S;Chu;Vis;0
Cristian Zabala;M;ARG;N;28;D;S;Arm;Cri;0
Julián Mavilla;M;ARG;N;26;E;N;Chu;Res;0
Osmar Giménez;M;PRY;N;19;D;N;Pas;Cri;0
Santiago Salle;M;ARG;N;22;D;S;Chu;Vis;0
Gastón González;P;ARG;N;25;E;N;Fin;Agi;0
Jhon Rentería;P;COL;N;20;E;N;Pas;Vel;0
Julián Contrera;P;ARG;N;23;D;S;Cru;Res;0
Yair Arismendi;P;ARG;N;28;E;N;Pas;Cri;0
Alexis González;A;ARG;N;21;D;N;Fin;Imp;0
Brandon Márquez;A;ARG;N;21;D;N;Cab;Vel;0
Diego Churín;A;ARG;N;36;A;N;Chu;Fri;0
Jonathan Herrera;A;ARG;N;34;E;N;Pas;For;0
Junior Marabel;A;PRY;N;28;D;S;Fin;Res;0
Pablo Magnin;A;ARG;N;36;D;N;Cab;Vel;0
