Başakşehir;TUR;81;Başakşehir Fatih Terim;Nuri Şahin;TUR;F26522;002C5F;17000
Deniz Dilmen;G;TUR;N;21;E;N;Ref;Con;0
Luca Stancic;G;TUR;N;19;D;N;Sgo;Imp;0
Muhammed Şengezer;G;TUR;N;29;D;S;Col;Fle;0
Volkan Babacan;G;TUR;N;37;D;N;Ref;For;0
Christopher Operi;L;CIV;N;29;E;S;Pos;Res;0
Michal Karbownik;L;POL;N;25;D;N;Mar;For;0
Onur Bulut;L;TUR;N;32;D;S;Cru;Ace;0
Saba Kharebashvili;L;GEO;N;17;E;N;Pas;Vel;0
Ömer Ali Şahiner;L;TUR;N;34;D;S;Des;Agi;0
Emin Bayram;Z;TUR;N;23;D;N;Des;Res;0
Hamza Güreler;Z;TUR;N;20;D;N;Cab;For;0
Jerome Opoku;Z;GHA;N;27;E;S;Mar;Vel;0
Ousseynou Ba;Z;SEN;N;30;D;S;Des;Imp;0
Jakub Kaluzinski;V;POL;N;23;A;N;Pas;Vis;0
Onur Ergün;V;TUR;N;33;D;N;Ant;Con;0
Berkay Özcan;M;TUR;N;28;D;N;Pas;Vis;0
Mohamed Fofana;M;CIV;N;21;D;N;Arm;Cri;0
Olivier Kemen;M;CMR;N;30;D;S;Chu;Fri;0
Umut Güneş;M;TUR;N;26;E;S;Fin;Agi;0
Abbosbek Fayzullaev;P;UZB;N;22;D;N;Cru;Ace;0
Andreas Skov Olsen;P;DNK;N;26;E;N;Pas;Cri;0
Berkay Aslan;P;TUR;N;19;D;N;Arm;Vel;0
Edin Visca;P;BIH;N;36;D;N;Cru;Res;0
Ivan Brnic;P;HRV;N;24;D;S;Cru;Ace;0
Yusuf Sarı;P;TUR;N;27;E;S;Fin;Res;0
Bertuğ Yıldırım;A;TUR;N;24;D;N;Cab;For;0
Davie Selke;A;DEU;N;31;D;N;Fin;Imp;0
Eldor Shomurodov;A;UZB;N;31;D;S;Chu;Fri;0
Nuno da Costa;A;CPV;N;35;D;N;Dri;For;0
Umut Bozok;A;TUR;N;29;D;N;Chu;Vel;0
