Napoli;ITA;90;Diego Armando Maradona;Massimiliano Allegri;ITA;0080FF;FFFFFF;54500
Alex Meret;G;ITA;N;29;E;N;Ref;Imp;0
Nikita Contini;G;ITA;N;30;D;N;Col;For;0
Vanja Milinković-Savić;G;SRB;N;29;D;S;Sgo;For;0
Giovanni Di Lorenzo;L;ITA;N;33;D;S;Cru;Res;0
Leonardo Spinazzola;L;ITA;N;33;D;S;Pos;Ace;0
Mathías Olivera;L;URY;N;28;E;S;Mar;Vel;0
Alessandro Buongiorno;Z;ITA;N;27;E;S;Pos;Imp;0
Amir Rrahmani;Z;XKX;N;32;D;S;Cab;Res;0
Benoît Badiashile;Z;FRA;N;25;E;N;Pos;Vel;0
Luca Marianucci;Z;ITA;N;22;D;N;Ant;Vel;0
Rafa Marín;Z;ESP;N;24;D;N;Cab;Imp;0
Sam Beukema;Z;NLD;N;27;D;S;Des;Vel;0
Billy Gilmour;V;SCT;N;25;D;N;Mar;Agi;0
Jens Cajuste;V;SWE;N;26;D;N;Pas;Agi;0
Stanislav Lobotka;V;SVK;S;31;D;S;Pas;Vis;0
Antonio Vergara;M;ITA;N;23;E;N;Arm;Cri;0
Costantino Favasuli;M;ITA;N;22;D;N;Dri;Res;0
Frank Anguissa;M;CMR;N;30;D;N;Pas;Agi;0
Kevin De Bruyne;M;BEL;S;35;D;N;Pas;Vis;0
Scott McTominay;M;SCT;N;29;D;S;Chu;Fri;0
Alisson Santos;P;BRA;N;23;D;N;Dri;Vel;0
David Neres;P;BRA;N;29;E;N;Dri;Vel;0
Matteo Politano;P;ITA;N;33;E;S;Cru;Agi;0
Noa Lang;P;NLD;N;27;D;N;Dri;Cri;0
Dinis Rodrigues;A;PRT;N;20;E;N;Fin;Imp;0
Giovane;A;BRA;N;22;E;N;Fin;For;0
Lorenzo Lucca;A;ITA;N;25;D;N;Cab;Imp;0
Rasmus Højlund;A;DNK;N;23;E;S;Chu;Vel;0
