Real Betis;ESP;88;La Cartuja;Manuel Pellegrini;CHL;00954C;FFFFFF;70000
Diego Conde;G;ESP;N;27;D;N;Rbo;For;0
Álvaro Valles;G;ESP;N;29;D;S;Ref;Con;0
Fran García;L;ESP;N;26;E;N;Des;Agi;0
Héctor Bellerín;L;ESP;N;31;D;N;Pas;Agi;0
Junior Firpo;L;DOM;N;29;E;N;Pas;Agi;0
Ángel Ortiz;L;ESP;N;22;D;N;Des;Agi;0
Diego Llorente;Z;ESP;N;32;D;N;Ant;Imp;0
Marc Bartra;Z;ESP;N;35;D;S;Ant;Con;0
Natan;Z;BRA;N;25;E;S;Ant;Con;0
Valentín Gómez;Z;ARG;N;23;E;S;Cab;Vel;0
Facundo Bernal;V;URY;N;22;D;N;Des;Vis;0
Marc Roca;V;ESP;N;29;E;S;Chu;Vis;0
Nelson Deossa;V;COL;N;26;E;N;Chu;Agi;0
Pablo Fornals;V;ESP;N;30;D;S;Pas;Vis;0
Giovani Lo Celso;M;ARG;N;30;E;N;Chu;Vis;0
Isco;M;ESP;S;34;D;N;Arm;Vis;0
Álvaro Fidalgo;M;MEX;N;29;D;N;Pas;Agi;0
Abde Ezzalzouli;P;MAR;S;24;D;S;Pas;Ace;0
Aitor Ruibal;P;ESP;N;30;D;S;Fin;Vel;0
Antony;P;BRA;S;26;E;S;Fin;Cri;0
Pablo García;P;ESP;N;20;E;N;Dri;Vel;0
Rodrigo Riquelme;P;ESP;N;26;D;N;Pas;Cri;0
Cucho Hernández;A;COL;N;27;D;S;Chu;Vel;0
Iker Losada;A;ESP;N;25;D;N;Fin;Res;0
Troy Parrott;A;IRL;N;24;D;S;Cab;Imp;0
