Criciúma;BRA;74;Heriberto Hülse;Eduardo Baptista;BRA;FCD217;000000;19000
Airton;G;BRA;N;32;D;S;Ref;Con;0
Alisson;G;BRA;N;31;D;N;Col;Con;0
Hiago Alves;L;BRA;N;20;E;N;Pas;Agi;0
Marcelo Hermes;L;BRA;N;31;E;S;Cru;For;0
Marcinho;L;BRA;N;30;D;S;Pas;Agi;0
Willean Lepo;L;BRA;N;29;D;S;Cru;Res;0
Bruno Alves;Z;BRA;N;35;D;N;Cab;For;0
César Martins;Z;BRA;N;33;D;S;Cab;Imp;0
Luciano Castán;Z;BRA;N;36;E;S;Pos;Con;0
Octávio Henrique;Z;BRA;N;21;E;N;Pos;Imp;0
Rodrigo;Z;BRA;N;39;D;S;Mar;Con;0
Ruan Carvalho;Z;BRA;N;19;D;N;Mar;Vel;0
Eduardo;V;BRA;N;29;D;S;Mar;Con;0
Jean Irmer;V;BRA;N;31;D;N;Des;For;0
Ronald;V;BRA;N;29;D;N;Pas;Vis;0
Sandry;V;BRA;N;23;D;N;Pas;Agi;0
Steven Nufour;V;GHA;N;21;D;N;Des;For;0
Thiaguinho;V;BRA;N;20;D;N;Pas;Agi;0
Fellipe Mateus;M;BRA;N;35;E;N;Arm;Vis;0
Guilherme Lobo;M;BRA;N;26;D;S;Pas;Res;0
Rómulo Otero;M;VEN;N;33;D;N;Chu;Cri;2
Diego Gonçalves;P;BRA;N;31;D;N;Fin;Vel;0
Jhonata Robert;P;BRA;N;26;D;S;Dri;Cri;0
João Carlos;P;BRA;N;25;D;N;Dri;Agi;0
Romarinho;P;BRA;N;32;D;N;Dri;Ace;0
Waguininho;P;BRA;N;36;D;S;Fin;Res;0
Cauê;A;BRA;N;23;D;N;Fin;For;0
Nicolas;A;BRA;N;36;D;N;Cab;Imp;0
Thales;A;BRA;N;19;E;N;Fin;Vel;0
Yuri Tanque;A;BRA;N;28;D;N;Cab;For;0
