Arouca;PRT;81;Municipal de Arouca;Vasco Seabra;PRT;FFFF00;0070E0;5500
Ignacio de Arruabarrena;G;URY;N;29;D;S;Col;Con;0
Jakub Vinarčík;G;SVK;N;21;D;N;Ref;Imp;0
Martim Duarte;G;PRT;N;23;D;N;Col;Con;0
Nico Mantl;G;DEU;N;26;D;N;Ref;Fle;0
Mario Climent;L;ESP;N;24;E;N;Des;Res;0
Orest Lebedenko;L;UKR;N;27;E;N;Des;For;0
Tiago Esgaio;L;PRT;N;30;D;S;Cru;Res;0
Boris Popović;Z;SRB;N;26;D;S;Des;For;0
Diogo Monteiro;Z;PRT;N;21;D;N;Cab;Imp;0
Javi Sánchez;Z;ESP;N;29;D;S;Mar;Con;0
José Fontán;Z;ESP;N;26;E;S;Pos;Res;0
Espen van Ee;M;NLD;N;23;D;S;Pas;Res;0
Hyun-ju Lee;M;KOR;N;23;D;S;Fin;Agi;0
Mateo Flores;M;ESP;N;22;E;N;Pas;Agi;0
Pablo Gozálbez;M;ESP;N;25;D;N;Arm;Vis;0
Pedro Santos;M;PRT;N;25;D;N;Pas;Vis;0
Taichi Fukui;M;JPN;N;22;D;S;Pas;Res;0
Alfonso Trezza;P;URY;N;27;D;S;Fin;Vel;0
Brian Mansilla;P;URY;N;24;E;N;Dri;Ace;0
Miguel Puche;P;ESP;N;25;D;N;Dri;Agi;0
Naïs Djouahra;P;FRA;N;26;D;S;Fin;Res;0
Si-hoo Park;P;KOR;N;18;D;N;Pas;Agi;0
Dylan Nandín;A;URY;N;24;D;N;Pas;For;0
Fally Mayulu;A;FRA;N;24;D;N;Cab;Imp;0
Iván Barbero;A;ESP;N;27;D;S;Fin;For;0
Romualdas Jansonas;A;LTU;N;21;E;N;Fin;Vel;0
