Ypiranga de Erechim;BRA;60;Colosso da Lagoa;Téo Chrysosthemos;BRA;00933C;FFF100;22000
Edu Araújo;G;BRA;N;24;D;N;Ref;Fle;0
Lucas Maticoli;G;BRA;N;29;A;N;Col;Con;0
Zé Carlos;G;BRA;N;40;D;S;Col;Con;0
Cleiton;L;BRA;N;32;D;S;Des;For;0
Danielzinho;L;BRA;N;25;D;S;Cru;Ace;0
Nicolas Schulz;L;BRA;N;26;E;S;Pas;Res;0
Ranisson;L;BRA;N;23;D;N;Des;Vel;0
Adilson Júnior;Z;BRA;N;22;D;N;Des;Vel;0
Eduardo Grechi;Z;BRA;N;21;D;N;Cab;For;0
Léo Gobo;Z;BRA;N;29;D;N;Mar;For;0
Reinaldo;Z;BRA;N;37;D;N;Cab;Con;0
Walce;Z;BRA;N;27;D;S;Ant;Imp;0
Willian Gomes;Z;BRA;N;37;E;S;Pos;For;0
Igor Silva;V;BRA;N;30;D;S;Des;Con;0
Kauan Bruno;V;BRA;N;21;D;N;Pas;Agi;0
Ramon Vinicius;V;BRA;N;26;D;N;Mar;For;0
Dionísio;M;BRA;N;32;D;S;Pas;Vis;0
Dudu;M;BRA;N;22;E;N;Arm;Cri;0
João Branco;M;BRA;N;22;E;N;Dri;Agi;0
Lucas Ramos;M;BRA;N;25;D;S;Chu;Res;0
Léo Rafael;M;BRA;N;25;D;N;Arm;Vis;0
Bryam;P;BRA;N;25;E;N;Dri;Ace;0
Felipe Ferreira;P;BRA;N;32;E;S;Cru;Cri;0
Henrique;P;BRA;N;32;D;N;Arm;Agi;0
Marcelinho;P;BRA;N;29;E;N;Dri;Vel;0
Pedro Lucas;P;BRA;N;23;D;N;Dri;Ace;0
Vini Charopem;P;BRA;N;28;D;N;Dri;Vel;0
Alex Gonçalves;A;BRA;N;36;D;N;Fin;Fri;0
Gustavo Simões;A;BRA;N;24;D;S;Fin;For;0
Renan Gorne;A;BRA;N;30;D;N;Cab;For;0
