Hatayspor;TUR;52;Fuat Tosyalı Spor Kompleksi;Hakkı Hocaoğlu;TUR;7E2223;FFFFFF;9500
Demir Sarıcalı;G;TUR;N;21;D;S;Ref;Imp;0
Emir Dadük;G;TUR;N;18;D;N;Sgo;Fle;0
Mert Çiçek;G;TUR;N;19;D;N;Rbo;For;0
Barış Uzel;L;TUR;N;18;E;N;Cru;For;0
Engin Can Aksoy;L;TUR;N;22;E;S;Pas;Vel;0
Ersin Aydemir;L;TUR;N;20;D;N;Mar;Agi;0
Seyit Gazanfer;L;TUR;N;27;D;S;Des;For;0
Abdulkadir Adıyaman;Z;TUR;N;20;E;N;Pos;For;0
Hakan Çinemre;Z;TUR;N;32;D;S;Mar;Res;0
Melih Şen;Z;TUR;N;20;D;N;Des;Imp;0
Sinan Özen;Z;NLD;N;21;E;S;Ant;Vel;0
Birhan Vatansever;V;TUR;N;29;D;S;Mar;Res;0
Halil Can Cemali;V;TUR;N;23;D;S;Pas;Vis;0
Mehmet Haluk Alagöz;V;TUR;N;18;D;N;Des;Con;0
Ali Yıldız;M;TUR;N;19;D;N;Dri;Agi;0
Cemil Berk Aksu;M;TUR;N;20;D;S;Pas;Res;0
Said Aydın;M;TUR;N;18;D;N;Arm;Cri;0
Eren Güler;P;TUR;N;20;D;N;Dri;Vel;0
Taylan Özgün;P;TUR;N;26;D;S;Pas;Ace;0
Ensar Arslan;A;TUR;N;25;E;S;Fin;For;0
Ünal Durmuşhan;A;TUR;N;22;D;S;Chu;Vel;0
