Nashville;USA;82;GEODIS Park;B.J. Callaghan;USA;E6E237;0F1043;30000
Brian Schwake;G;USA;N;25;D;S;Sgo;Imp;0
Joe Willis;G;USA;N;38;E;N;Ref;Fle;0
Xavier Valdez;G;DOM;N;22;D;N;Rbo;Fle;0
Andy Nájar;L;HND;N;33;D;S;Des;Res;0
Daniel Lovitz;L;USA;N;35;E;S;Pas;Vel;0
Jordan Knight;L;CAN;N;24;E;N;Mar;Agi;0
Malachi Molina;L;JAM;N;19;D;N;Mar;For;0
Owen Presthus;L;USA;N;20;A;N;Cru;Ace;0
Reed Baker-Whiting;L;USA;N;21;D;N;Pas;Ace;0
Christopher Applewhite;Z;USA;N;19;D;N;Mar;Res;0
Jack Maher;Z;USA;N;26;D;N;Pos;Vel;0
Jeison Palacios;Z;COL;N;32;D;S;Ant;For;0
Josh Bauer;Z;USA;N;28;D;N;Des;Res;0
Maxwell Woledzi;Z;GHA;N;25;D;S;Mar;Imp;0
Thomas Williams;Z;USA;N;22;D;N;Mar;Res;0
Charles-Emile Brunet;V;CAN;N;22;D;N;Mar;Res;0
Famara Camara;V;SEN;N;21;D;N;Pas;For;0
Matthew Corcoran;V;USA;N;20;D;S;Ant;Con;0
Bryan Acosta;M;HND;N;32;D;N;Pas;Fri;0
Edvard Tagseth;M;NOR;N;25;E;S;Arm;Vis;0
Hany Mukhtar;M;DEU;N;31;A;S;Fin;Agi;0
Patrick Yazbek;M;AUS;N;24;D;N;Pas;Agi;0
Ahmed Qasem;P;IRQ;N;23;E;N;Pas;Vel;0
Alex Muyl;P;USA;N;30;D;N;Dri;Vel;0
Cristian Espinoza;P;ARG;N;31;D;S;Fin;Cri;0
Elias Saad;P;TUN;N;26;D;N;Dri;Agi;0
Shak Mohammed;P;GHA;N;23;D;N;Dri;Vel;0
Warren Madrigal;P;CRI;N;22;D;S;Dri;Ace;0
Sam Surridge;A;ENG;N;28;D;S;Fin;Imp;0
Zidane Yáñez;A;CHL;N;18;D;N;Fin;Vel;0
