Grêmio;BRA;82;Arena do Grêmio;Luís Castro;PRT;0581C0;000000;55500
Gabriel Grando;G;BRA;N;26;D;N;Sgo;Imp;0
Weverton;G;BRA;S;38;D;S;Ref;Con;1
Caio Paulista;L;BRA;N;28;E;N;Pas;Agi;0
Diego Caito;L;BRA;N;22;D;N;Pas;Res;0
João Pedro;L;BRA;N;29;D;N;Pas;For;0
Marcos Rocha;L;BRA;N;37;D;N;Cru;For;0
Marlon;L;BRA;N;29;E;S;Cru;Agi;0
Pedro Gabriel;L;BRA;N;19;E;N;Pos;Ace;0
Fabián Balbuena;Z;PRY;N;34;D;N;Des;Con;0
Gustavo Martins;Z;BRA;N;24;D;S;Cab;Con;0
Luis Eduardo;Z;BRA;N;18;D;N;Cab;Imp;0
Wagner Leonardo;Z;BRA;N;27;E;N;Ant;Imp;0
Wallace;Z;BRA;N;21;D;N;Cab;Vel;0
Walter Kannemann;Z;ARG;N;35;E;N;Cab;For;4
Danilo Barbosa;V;BRA;N;30;D;S;Ant;For;0
Dodi;V;BRA;N;30;D;N;Ant;For;0
Erick Noriega;V;PER;N;24;D;S;Des;For;0
Juan Nardoni;V;ARG;N;24;D;N;Des;Agi;0
Mathías Villasanti;V;PRY;N;29;D;N;Ant;Con;0
Gabriel Mec;M;BRA;N;18;A;S;Pas;Res;0
Riquelme;M;BRA;N;20;D;N;Pas;Agi;0
Tiaguinho;M;BRA;N;18;A;N;Pas;Agi;0
Cristian Pavón;P;ARG;N;30;D;S;Cru;Vel;0
Francis Amuzu;P;BEL;N;26;D;S;Fin;Agi;0
José Enamorado;P;COL;N;27;D;S;Pas;Vel;0
Jovane Cabral;P;CPV;N;28;D;N;Dri;Vel;0
Roger;P;BRA;N;18;E;N;Pas;Vel;0
Tetê;P;BRA;N;26;E;S;Pas;Ace;0
Carlos Vinícius;A;BRA;N;31;E;S;Fin;Imp;6
Martin Braithwaite;A;DNK;N;35;D;N;Fin;Vel;0
