Cádiz;ESP;71;Nuevo Mirandilla;Albert Celades;ESP;FFFF00;000000;20500
David Gil;G;ESP;N;32;D;N;Ref;Con;0
Jokin Ezkieta;G;ESP;N;30;D;S;Col;Con;0
Beñat de Jesús;L;ESP;N;24;D;N;Mar;For;0
Cristian Gutiérrez;L;ESP;N;25;E;N;Cru;Agi;0
Giorgi Gocholeishvili;L;GEO;N;25;D;N;Mar;Vel;0
Juan Díaz;L;ESP;N;20;D;S;Pas;Agi;0
Bojan Kovacevic;Z;SRB;N;22;D;S;Cab;For;0
Javi Castro;Z;ESP;N;25;D;S;Ant;Vel;0
Kenan Toibibou;Z;COM;N;21;D;N;Mar;For;0
Manu Fernández;Z;ESP;N;25;D;N;Mar;Res;0
Sergio Arribas;Z;ESP;N;23;E;N;Pos;Vel;0
Damián Rodríguez;V;ESP;N;23;E;S;Pas;Vis;0
Jandro Orellana;V;ESP;N;26;D;N;Pas;Con;0
Aïmen Moueffek;M;MAR;N;25;D;N;Chu;Res;0
Dilan Zárate;M;ESP;N;19;A;N;Fin;Vis;0
Ibon Sánchez;M;ESP;N;22;E;S;Dri;Agi;0
José Andújar;M;ESP;N;21;D;N;Pas;Agi;0
Marc-Olivier Doué;M;FRA;N;25;D;N;Pas;Res;0
Suso;M;ESP;N;32;E;S;Arm;Vis;0
Antonio de la Rosa;P;ESP;N;22;D;S;Dri;Ace;0
Antoñito Cordero;P;ESP;N;19;D;S;Fin;Agi;0
Efe Aghama;P;NGA;N;22;D;N;Dri;Vel;0
Iuri Tabatadze;P;GEO;N;26;A;N;Cru;Vel;0
Javi Ontiveros;P;ESP;N;28;D;S;Arm;Cri;0
Francisco Mwepu;A;ZMB;N;26;D;N;Cab;For;0
García Pascual;A;ESP;N;24;D;N;Cab;Res;0
Gonzalo Petit;A;URY;N;19;D;N;Pas;For;0
Jerónimo Dómina;A;ARG;N;20;D;N;Dri;Vel;0
Urko Izeta;A;ESP;N;26;D;S;Pas;Res;0
Vladyslav Kopotun;A;UKR;N;25;D;N;Fin;Vel;0
