Istanbulspor;TUR;64;Necmi Kadıoğlu Stadyumu;Barış Kanbak;TUR;FFED00;000000;4000
Alp Tutar;G;TUR;N;29;D;S;Sgo;Imp;0
İsa Doğan;G;TUR;N;26;D;N;Sgo;Fle;0
Demeaco Duhaney;L;ENG;N;27;D;N;Des;Vel;0
Yusuf Özer;L;TUR;N;24;E;S;Des;Vel;0
Özcan Şahan;L;TUR;N;27;D;S;Pas;Res;0
Duran Şahin;Z;TUR;N;21;D;S;Ant;Vel;0
Fatih Tultak;Z;TUR;N;25;E;S;Des;Vel;0
İzzet Erdal;Z;TUR;N;21;E;N;Ant;Vel;0
Michael Ologo;Z;NGA;N;23;D;S;Ant;Vel;0
Muhlis Dağaşan;Z;TUR;N;22;D;N;Ant;Vel;0
Umut İslamoğlu;Z;TUR;N;19;E;N;Ant;Vel;0
Yakuphan Sarıalioğlu;Z;TUR;N;19;D;N;Pos;Res;0
Demir Mermerci;V;TUR;N;19;D;N;Ant;Agi;0
Dijlan Aydın;V;TUR;N;26;E;S;Des;Agi;0
Elvin Mendy;V;GMB;N;19;D;N;Des;Agi;0
Isa Dayakli;V;AUT;N;24;D;S;Des;Agi;0
Kubilay Sönmez;V;TUR;N;32;D;N;Des;Vis;0
Ilian Iliev;M;BGR;N;27;E;S;Pas;Agi;0
Vefa Temel;M;TUR;N;23;E;N;Pas;Agi;0
Ömer Faruk Duymaz;M;TUR;N;20;E;S;Pas;Agi;0
Abdurrahman Emek;P;TUR;N;25;E;N;Pas;Vel;0
Alieu Cham;P;GMB;N;20;D;N;Dri;Vel;0
Berk Ali Nizam;P;TUR;N;26;D;S;Pas;Vel;0
Phellipe;P;BRA;N;22;D;N;Fin;Cri;0
Eren Arda Şan;A;TUR;N;20;D;N;Pas;Res;0
Ertuğrul Sandıkcı;A;TUR;N;19;D;N;Pas;Res;0
Mario Krstovski;A;MKD;N;28;D;S;Fin;Vel;0
Mustafa Sol;A;TUR;N;24;D;N;Fin;Imp;0
Soner Salih Yavuz;A;TUR;N;20;D;N;Pas;Res;0
