Ferro Carril Oeste;ARG;67;Arquitecto Ricardo Etcheverri;Juan Sara;ARG;009246;FFFFFF;24000
Fernando Monetti;G;ARG;N;37;D;S;Ref;Con;0
Lucas Ruiz;G;ARG;N;23;D;N;Sgo;Fle;0
Fernando Torrent;L;ARG;N;34;D;N;Cru;Agi;0
Nazareno Kihm;L;ARG;N;20;D;S;Pos;Res;0
Sebastián Corda;L;ARG;N;30;E;S;Mar;For;0
Federico Tévez;Z;ARG;N;26;D;S;Pos;Imp;0
Gustavo Canto;Z;ARG;N;31;E;N;Cab;Res;0
Juan Orellana;Z;ARG;N;28;D;S;Ant;Imp;0
Leandro Peña Biafore;Z;ARG;N;22;D;N;Des;For;0
Misael Tarón;Z;ARG;N;25;E;S;Pos;Con;0
Felipe Obradovich;V;ARG;N;19;D;S;Pas;Vis;0
Gino Olguín;V;ARG;N;25;D;N;Mar;Con;0
Enzo Hoyos;M;ARG;N;25;E;N;Fin;Vis;0
Gonzalo Castellani;M;ARG;N;38;D;S;Chu;Fri;0
Laureano Marra;M;ARG;N;22;D;N;Pas;Res;0
Martín Campos;M;ARG;N;23;E;N;Dri;Agi;0
Matías Kabalin;M;ARG;N;27;D;S;Pas;Fri;0
Nicolás Gómez;M;ARG;N;29;E;N;Arm;Cri;0
Emanuel Dening;P;ARG;N;37;D;S;Fin;Agi;0
Emiliano Ozuna;P;ARG;N;30;E;N;Dri;Ace;0
Jonathan Menéndez;P;ARG;N;31;D;N;Cru;Cri;0
Santiago García;P;ARG;N;23;E;N;Arm;Vel;0
Ángel González;P;ARG;N;31;D;S;Pas;Res;0
Franco García;A;URY;N;27;D;N;Dri;Vel;0
Lautaro Parisi;A;ARG;N;31;D;N;Cab;For;0
Tomás Martinez;A;ARG;N;24;D;N;Chu;Fri;0
