Itabaiana;BRA;57;Mendonção;Marcelo Chamusca;BRA;1147EC;DC2A13;10000
Geaze;G;BRA;N;31;D;N;Col;Imp;0
Jefferson;G;BRA;N;33;E;N;Ref;Con;0
Léo Souza;G;BRA;N;37;D;S;Col;Con;0
William;G;BRA;N;20;D;N;Sgo;Con;0
Caio Felipe;L;BRA;N;27;D;S;Pas;Agi;0
Isaque;L;BRA;N;24;D;S;Cru;Vel;0
Manoel;L;BRA;N;30;E;N;Pos;Agi;0
Tito;L;BRA;N;29;E;N;Cru;Ace;0
Betão;Z;BRA;N;34;D;S;Mar;Con;0
Gustavo Cintra;Z;BRA;N;20;A;N;Ant;Con;0
Gustavo Fagundes;Z;BRA;N;24;D;N;Cab;For;0
Ligger;Z;BRA;N;38;E;N;Ant;Res;0
Lucão;Z;BRA;N;28;D;S;Des;For;0
Fabrício Moura;V;BRA;N;22;D;S;Des;Agi;0
Gustavo Crecci;V;BRA;N;31;D;S;Mar;Con;0
Ricardo Cerqueira;V;BRA;N;23;D;N;Mar;For;0
Victor Luis;V;BRA;N;20;D;N;Ant;Agi;0
Cleiton;M;BRA;N;28;D;N;Fin;Cri;0
Karl;M;BRA;N;33;A;N;Pas;Res;0
Lucas Bessa;M;BRA;N;26;D;N;Pas;Res;0
Renatinho;M;BRA;N;34;D;S;Arm;Vis;0
Elimar;P;BRA;N;28;A;S;Arm;Ace;0
Leilson;P;BRA;N;33;D;S;Fin;Res;0
Rodrigo Alves;P;BRA;N;30;D;N;Dri;Agi;0
Romário Baldé;P;GNB;N;29;D;N;Dri;Vel;0
Tarcísio;P;BRA;N;33;E;S;Pas;Cri;0
Brandon Mondaca;A;CHL;N;21;D;N;Dri;Vel;0
Everton Kanela;A;BRA;N;30;D;N;Fin;For;0
Luan Silva;A;BRA;N;33;D;N;Fin;For;0
