Ipswich Town;ENG;87;Portman Road;Gary O'Neil;ENG;1100FF;FFFFFF;30000
Alex Palmer;G;ENG;N;29;D;N;Ref;Fle;0
Christian Walton;G;ENG;N;30;E;S;Ref;Con;0
David Button;G;ENG;N;37;D;N;Ref;Con;0
Kjell Scherpen;G;NLD;N;26;D;N;Ref;Imp;0
Abdoul Ouattara;L;CIV;N;20;D;N;Pas;Vel;0
Darnell Furlong;L;ENG;N;30;D;S;Cru;For;0
Leif Davis;L;ENG;N;26;E;S;Cru;Res;0
Cédric Kipré;Z;CIV;N;29;D;S;Cab;Imp;0
Dara O'Shea;Z;IRL;N;27;D;S;Ant;Con;4
Issa Diop;Z;MAR;N;29;D;N;Mar;Vel;0
Jacob Greaves;Z;ENG;N;25;E;S;Ant;Con;0
Azor Matusiwa;V;NLD;N;28;D;S;Des;Res;0
Florentino;V;PRT;N;26;D;S;Des;Agi;0
Anis Mehmeti;M;ALB;N;25;D;N;Dri;Cri;0
Exequiel Palacios;M;ARG;N;27;D;N;Pas;Res;5
Jack Taylor;M;IRL;N;28;D;S;Chu;Res;0
Julio Enciso;M;PRY;N;22;D;N;Pas;Cri;0
Kasey McAteer;M;IRL;N;24;D;N;Fin;Agi;0
Marcelino Núñez;M;CHL;N;26;D;S;Arm;Vis;2
Sammie Szmodics;M;IRL;N;30;D;N;Fin;Res;0
Saša Lukić;M;SRB;N;29;D;N;Pas;Res;0
Abdul Fatawu;P;GHA;N;22;E;N;Dri;Ace;0
Chiedozie Ogbene;P;IRL;N;29;D;N;Dri;Vel;0
Daizen Maeda;P;JPN;N;28;D;N;Fin;Res;0
Jack Clarke;P;ENG;N;25;D;S;Fin;Agi;0
Jaden Philogene;P;ENG;N;24;D;N;Fin;Cri;0
Sindre Walle Egeli;P;NOR;N;20;E;N;Fin;Cri;0
Chuba Akpom;A;ENG;N;30;D;N;Fin;For;0
Emersonn;A;BRA;N;22;D;N;Fin;Fri;6
