Ajax;NLD;83;Johan Cruijff ArenA;Míchel;ESP;FFFFFF;CB112D;55500
Joeri Heerkens;G;NLD;N;20;D;N;Ref;Fle;0
Maarten Paes;G;IDN;N;28;D;S;Rbo;Imp;0
Marc-André ter Stegen;G;DEU;S;34;D;N;Rbo;Con;1
Anton Gaaei;L;DNK;N;23;D;N;Pas;Vel;0
Caio Henrique;L;BRA;N;28;E;S;Mar;Ace;0
Jofre Torrents;L;ESP;N;19;E;S;Pas;Ace;0
Lucas Rosa;L;BRA;N;26;D;S;Pos;Ace;0
Owen Wijndal;L;NLD;N;26;E;N;Cru;Ace;0
Aaron Bouwman;Z;NLD;N;18;D;N;Pos;Con;0
Daley Blind;Z;NLD;N;36;E;S;Pos;Con;4
Thilo Kehrer;Z;DEU;N;29;A;S;Pos;Con;0
Youri Baas;Z;NLD;N;23;E;N;Ant;Vel;0
Jorthy Mokio;V;COD;N;18;E;N;Mar;Agi;0
Sofyan Amrabat;V;MAR;N;29;D;S;Pas;Vis;0
Davy Klaassen;M;NLD;N;33;D;S;Pas;Fri;0
Julian Brandt;M;DEU;N;29;D;S;Chu;Cri;2
Oscar Gloukh;M;ISR;N;22;A;N;Chu;Cri;0
Rayane Bounida;M;MAR;N;20;D;N;Pas;Agi;0
Oliver Edvardsen;P;NOR;N;27;D;S;Cru;Cri;0
Steven Berghuis;P;NLD;N;34;E;S;Pas;Cri;0
van Axel Dongen;P;NLD;N;21;D;N;Dri;Ace;0
Viktor Tsygankov;P;UKR;N;28;E;N;Fin;Res;0
Dolberg;A;DNK;N;28;D;S;Fin;Imp;0
Marcos Leonardo;A;BRA;N;23;D;N;Fin;Vel;0
Tolu Arokodare;A;NGA;N;25;D;N;Cab;Imp;0
