Botafogo;BRA;84;Engenhão;Rodrigo Bellão;BRA;080808;FFFFFF;46500
Gabriel Batista;G;BRA;N;28;D;N;Col;Con;0
Warleson;G;BRA;N;29;D;S;Col;Con;0
Alex Telles;L;BRA;S;33;E;S;Cru;Res;2
Caio Roque;L;BRA;N;24;E;N;Cru;Vel;0
Jhoan Hernández;L;COL;N;20;E;N;Cru;Vel;0
Marçal;L;BRA;N;37;E;N;Des;Ace;0
Mateo Ponte;L;URY;N;23;D;S;Cru;Agi;0
Paulinho;L;BRA;N;31;E;N;Cru;Res;0
Vitinho;L;BRA;N;27;D;S;Cru;Agi;0
Gabriel Justino;Z;BRA;N;20;D;S;Pos;Con;0
Kaio;Z;BRA;N;30;D;N;Mar;Res;0
Lucas Monzón;Z;URY;N;24;E;N;Des;Vel;0
Nahuel Ferraresi;Z;VEN;N;27;D;S;Des;For;0
Ythallo;Z;BRA;N;22;D;N;Des;For;0
Allan;V;BRA;N;35;D;N;Pas;For;0
Danilo;V;BRA;S;25;E;S;Pas;Vis;3
Domingos Andrade;V;AGO;N;23;D;N;Des;For;0
Huguinho;V;BRA;N;19;D;N;Pas;Agi;0
Wallace Davi;V;BRA;N;19;D;N;Mar;Agi;0
Cristian Medina;M;ARG;N;24;D;S;Pas;Agi;0
Edenilson;M;BRA;N;36;D;N;Pas;Res;0
Jordan Barrera;M;COL;N;20;D;S;Pas;Agi;0
Santiago Rodríguez;M;URY;N;26;D;N;Chu;Agi;0
Júnior Santos;P;BRA;N;31;D;N;Dri;Res;0
Lucas Villalba;P;URY;N;25;D;N;Dri;Vel;0
Álvaro Montoro;P;ARG;N;19;D;S;Dri;Agi;0
Arthur Cabral;A;BRA;N;28;D;S;Fin;Imp;0
Danilo;A;BRA;N;27;D;N;Fin;Vel;0
Kadir Barría;A;PAN;N;19;D;N;Fin;For;0
Tiquinho Soares;A;BRA;N;35;D;N;Pas;For;0
