ABC;BRA;52;Frasqueirão;Waguinho Dias;BRA;FFFFFF;000000;18000
Matheus Alves;G;BRA;N;31;D;S;Ref;Con;0
Rodolfo Castro;G;BRA;N;31;D;N;Col;Imp;0
Cayo Tenório;L;BRA;N;27;D;N;Cru;Vel;0
Dudu Mandai;L;BRA;N;33;E;S;Pas;For;0
Lucas Marques;L;BRA;N;28;D;S;Des;Vel;0
Thallyson;L;BRA;N;34;E;N;Cru;For;0
Darlan;Z;BRA;N;21;D;N;Mar;Vel;0
Davi;Z;BRA;N;21;D;N;Des;For;0
Fabão;Z;BRA;N;27;D;N;Des;For;0
João Victor;Z;BRA;N;31;E;N;Pos;Con;0
Lucas Souza;Z;BRA;N;28;D;S;Pos;For;0
Wellington Carvalho;Z;BRA;N;33;D;S;Ant;Con;0
Edson;V;BRA;N;35;D;S;Des;For;0
Jonathan;V;BRA;N;24;D;S;Mar;Res;0
Ramires;V;BRA;N;27;D;N;Pas;Vis;0
Randerson;V;BRA;N;22;D;N;Des;Agi;0
Régis Potiguar;V;BRA;N;34;D;N;Des;For;0
Wellington Reis;V;BRA;N;34;D;N;Mar;Con;0
Geilson;M;BRA;N;25;D;S;Pas;Agi;0
Jhosefer;M;BRA;N;22;D;N;Pas;Vis;0
João Pedro;M;BRA;N;27;E;N;Arm;Vis;0
Lima;M;BRA;N;27;E;N;Pas;Cri;0
Luis Felipe;M;BRA;N;22;D;N;Dri;Agi;0
Mateus Bernardo;M;BRA;N;21;E;N;Pas;Vis;0
Luiz Fernando;P;BRA;N;27;D;S;Dri;Vel;0
Rikelmi;P;BRA;N;24;D;N;Pas;Agi;0
Brunão;A;BRA;N;28;D;N;Cab;Imp;0
Fábio;A;BRA;N;21;D;N;Pas;Vel;0
Igor Bahia;A;BRA;N;33;D;S;Fin;For;0
Wallyson;A;BRA;N;37;D;S;Fin;Fri;0
