Banfield;ARG;76;Florencio Sola;Pedro Troglio;ARG;FFFFFF;00963D;34500
Diego Rodríguez;G;ARG;N;37;E;N;Sgo;Fri;0
Gino Santilli;G;ARG;N;24;D;S;Ref;Imp;0
Joaquín Molina;G;ARG;N;22;D;N;Sgo;Imp;0
Ignacio Abraham;L;SYR;N;28;E;S;Mar;For;0
Juan Iribarren;L;ARG;N;23;D;N;Pas;Ace;0
Juan Luis Alfaro;L;ARG;N;26;D;N;Cru;Vel;0
Lautaro Cano;L;ARG;N;23;E;N;Des;Agi;0
Brandon Oviedo;Z;ARG;N;21;D;N;Ant;For;0
Nehuén Paz;Z;ARG;N;33;E;N;Mar;Con;0
Nicolás Meriano;Z;ARG;N;25;E;S;Cab;Imp;0
Renzo Malanca;Z;ARG;N;23;D;N;Ant;For;0
Santiago Daniele;Z;ARG;N;20;D;N;Des;For;0
Lautaro Ríos;V;ARG;N;25;D;N;Mar;Vis;0
Favio Álvarez;M;ARG;N;33;D;N;Pas;Res;0
Lautaro Gómez;M;ARG;N;23;E;S;Arm;Cri;0
Lautaro Villegas;M;ARG;N;22;D;S;Fin;Agi;0
Lucas Palavecino;M;ARG;N;22;D;N;Chu;Vis;0
Nacho Pais;M;ARG;N;26;D;S;Pas;Res;0
Neyder Moreno;M;COL;N;29;D;N;Arm;Vis;0
Santiago Esquivel;M;ARG;N;22;D;S;Chu;Fri;0
David Zalazar;P;ARG;N;24;E;S;Fin;Cri;0
Federico Medina;P;ARG;N;22;D;N;Pas;Res;0
Lisandro Piñero;P;ARG;N;19;D;S;Arm;Vel;0
Santiago López García;P;ARG;N;28;D;S;Dri;Cri;0
Thomas Rodríguez;P;CHL;N;30;D;N;Cru;Res;0
Tomás Adoryán;P;ARM;N;24;D;S;Fin;Agi;0
Alexander Machado;A;URY;N;24;E;N;Fin;Fri;0
Bruno Sepúlveda;A;ARG;N;33;D;N;Pas;For;0
Federico Anselmo;A;ARG;N;32;D;N;Cab;Res;0
Matías Hernández;A;ARG;N;21;D;N;Chu;Imp;0
