América-RN;BRA;54;Arena das Dunas;Ranielle Ribeiro;BRA;DD181F;FFFFFF;31000
Lucão;G;BRA;N;24;D;N;Col;For;0
Renan Bragança;G;BRA;N;28;D;S;Ref;Con;0
Charles;L;BRA;N;32;E;N;Mar;For;0
Evandro;L;BRA;N;29;E;S;Cru;Vel;0
Lucas Mendes;L;BRA;N;34;D;S;Pas;Ace;0
Ricardo Luz;L;BRA;N;31;D;N;Pos;Ace;0
Guilherme Paraíba;Z;BRA;N;32;D;S;Ant;For;0
Gustavo Ferreira;Z;BRA;N;21;D;N;Mar;Con;0
Lucas Rodrigues;Z;BRA;N;24;D;S;Pos;Vel;0
Pedro Jorge;Z;BRA;N;23;D;N;Des;Imp;0
Renzo;Z;BRA;N;24;E;N;Ant;Vel;0
Aruá;V;BRA;N;30;D;S;Des;Res;0
Carlos Coppetti;V;BRA;N;32;D;S;Mar;For;0
Judson;V;BRA;N;33;D;N;Ant;Con;0
Souza;V;BRA;N;38;D;S;Chu;Vis;0
Wagner Balotelli;V;BRA;N;33;E;N;Des;For;0
Alisson Taddei;M;BRA;N;29;D;S;Arm;Vis;0
Allan;M;BRA;N;22;D;N;Pas;Vis;0
Antônio;M;BRA;N;23;D;N;Pas;Agi;0
Augusto Galvan;M;BRA;N;27;E;S;Dri;Agi;0
Henrique;M;BRA;N;21;E;N;Pas;Agi;0
Cassiano Bouzon;P;BRA;N;25;E;S;Dri;Vel;0
Josiel;P;BRA;N;27;D;N;Fin;Ace;0
Luiz Thiago;P;BRA;N;31;D;N;Fin;Agi;0
Matheus Régis;P;BRA;N;26;D;N;Dri;Vel;0
Nycollas;P;BRA;N;23;E;N;Pas;Ace;0
Paulinho;P;BRA;N;34;A;N;Pas;Cri;0
Ricardo Lopes;P;BRA;N;35;D;N;Fin;Cri;0
Joãozinho;A;BRA;N;22;D;N;Dri;Vel;0
Wellington Tanque;A;BRA;N;38;D;N;Cab;For;0
