Racing-URU;URY;79;Parque Osvaldo Roberto;Cristian Chambian;URY;1C6823;FFFFFF;4500
Facundo Machado;G;URY;N;22;D;N;Rbo;Fle;0
Federico Varese;G;URY;N;23;D;S;Ref;Fle;0
Diego Cheuquepal;L;ARG;N;19;E;N;Mar;Res;0
Guillermo Cotugno;L;URY;N;31;D;S;Des;Res;0
Martín Ferreira;L;URY;N;34;E;S;Pas;Res;0
Facundo Parada;Z;URY;N;26;D;N;Pos;Res;0
Felipe Álvarez;Z;ARG;N;21;E;S;Ant;Vel;0
Ramiro Brazionis;Z;URY;N;24;D;S;Mar;Res;0
Juan Pablo Bosca;V;URY;N;21;D;N;Chu;Con;0
Axel Atum;M;ARG;N;20;E;N;Pas;Cri;0
Erik De Los Santos;M;URY;N;27;D;S;Chu;Agi;0
José Varela;M;URY;N;37;D;N;Chu;Cri;0
Juan Pérez;M;ARG;N;24;D;N;Pas;Fri;0
Rodrigo Teliz;M;URY;N;21;D;N;Pas;Fri;0
Yuri Oyarzo;M;URY;N;18;E;S;Fin;Vis;0
Álex Vázquez;M;URY;N;24;E;S;Pas;Agi;0
Agustín Kahl;P;ARG;N;22;D;N;Fin;Vel;0
Esteban Da Silva;P;URY;N;25;D;S;Cru;Vel;0
Franco Suárez;P;URY;N;22;D;N;Dri;Vel;0
Rodrigo Dudok;P;URY;N;18;E;N;Dri;Vel;0
Iván Manzur;A;ARG;N;21;D;N;Chu;Fri;0
Nicolás Sosa;A;URY;N;30;D;N;Fin;Fri;0
Sebastián da Silva;A;URY;N;23;D;S;Dri;Vel;0
Thiago Fernández;A;URY;N;19;D;N;Fin;Fri;0
Tomás Habib;A;ARG;N;23;D;S;Pas;For;0
