Empoli;ITA;71;Carlo Castellani;Guido Pagliuca;ITA;175EEB;FFFFFF;19500
Emiliano Filippis;G;ITA;N;22;D;N;Col;Con;0
Jacopo Seghetti;G;ITA;N;21;D;N;Ref;Fle;0
Samuele Perisan;G;ITA;N;28;E;S;Ref;Fle;0
Niccolò Corrado;L;ITA;N;26;E;S;Cru;Ace;0
Cristian Căuz;Z;ITA;N;29;E;S;Pos;Con;0
Dawid Bembnista;Z;POL;N;19;D;N;Des;For;0
Gabriele Indragoli;Z;ITA;N;22;D;N;Pos;Imp;0
Marco Curto;Z;ITA;N;27;D;S;Ant;Con;0
Duccio Degli Innocenti;V;ITA;N;23;D;S;Pas;Con;0
Gerard Yepes;V;ESP;N;23;D;S;Pas;Vis;0
Lapo Deli;V;ITA;N;20;E;N;Pas;Con;0
Andrea Orlandi;M;ITA;N;19;D;N;Pas;Agi;0
Danilo Busiello;M;ITA;N;18;D;N;Pas;Vis;0
Edoardo Saporiti;M;ITA;N;24;D;S;Chu;Cri;0
Filippo Bandinelli;M;ITA;N;31;E;N;Pas;Res;0
Joseph Ceesay;M;GMB;N;28;D;S;Dri;Agi;0
Karim Zedadka;M;DZA;N;26;D;N;Pas;Res;0
Luca Belardinelli;M;ITA;N;25;D;S;Pas;Vis;0
Luca Magnino;M;ITA;N;28;D;S;Pas;Res;0
Bogdan Popov;A;UKR;N;19;D;N;Cab;For;0
Filippo Distefano;A;ITA;N;22;D;N;Dri;Vel;0
Salvatore Monaco;A;ITA;N;19;D;N;Fin;For;0
Stiven Shpendi;A;ALB;N;23;D;S;Fin;Vel;0
