Araguaína;BRA;46;Mirandão;Hugo Pilo;URY;FFFFFF;018CD9;10000
Francielton;G;BRA;N;23;D;N;Ref;Fle;0
Kaio;G;BRA;N;18;D;N;Sgo;Fri;0
Luiz Victor;G;BRA;N;20;E;N;Rbo;For;0
Murillo;G;BRA;N;26;D;S;Col;Con;0
Gabriel William;L;BRA;N;25;E;S;Pas;Res;0
Gustavo Lobó;L;BRA;N;27;D;N;Mar;For;0
Ian;L;BRA;N;22;E;S;Cru;Ace;0
Rafael Leandro;L;BRA;N;22;A;S;Pos;Agi;0
Clau;Z;BRA;N;27;E;N;Mar;For;0
Eduardo Castro;Z;BRA;N;28;D;N;Cab;Imp;0
Jadiel;Z;BRA;N;19;D;N;Ant;Res;0
Luiz Neto;Z;BRA;N;20;D;S;Des;Vel;0
André Oliveira;V;BRA;N;31;D;N;Ant;For;0
Gustavo Gomes;V;BRA;N;27;D;S;Des;Res;0
José Neto;V;BRA;N;20;D;N;Des;Agi;0
Juninho;V;BRA;N;21;D;N;Pas;Res;0
Kevin Freitas;V;BRA;N;24;D;S;Mar;Agi;0
William;V;BRA;N;25;A;S;Pas;Vis;0
Ezequiel;M;BRA;N;23;D;N;Arm;Vis;0
Guilherme Barrozo;M;BRA;N;23;E;N;Pas;Agi;0
Julio César;M;BRA;N;21;D;N;Dri;Res;0
Luiz Henrique;M;BRA;N;22;D;N;Fin;Fri;0
Zé Elias;M;BRA;N;22;E;N;Chu;Cri;0
Ailton;P;BRA;N;23;D;S;Dri;Vel;0
Alisson Índio;P;BRA;N;22;A;N;Cru;Ace;0
Gabriel Vinícius;P;BRA;N;28;D;S;Fin;Agi;0
Gabriel Viana;A;BRA;N;23;D;S;Fin;For;0
Kaio;A;BRA;N;21;D;N;Dri;Vel;0
Kennedy Balotelli;A;BRA;N;30;D;N;Cab;For;0
