Norwich City;ENG;78;Carrow Road;Philippe Clement;BEL;009900;FFFF00;27000
Daniel Grimshaw;G;ENG;N;28;D;N;Sgo;Con;0
Vladan Kovacevic;G;BIH;N;28;D;S;Ref;Fri;0
Ben Chrisene;L;ENG;N;22;E;S;Pas;For;0
Darlin Yongwa;L;CMR;N;25;E;N;Cru;Vel;0
Jack Stacey;L;ENG;N;30;D;S;Cru;Res;0
Kellen Fisher;L;ENG;N;22;D;S;Des;For;0
Lucien Mahovo;L;ENG;N;21;E;N;Pas;Agi;0
Bruno Alves;Z;BRA;N;20;A;N;Pos;Vel;0
Harry Darling;Z;ENG;N;26;D;S;Cab;For;0
José Córdoba;Z;PAN;N;25;E;N;Ant;Vel;0
Ruairi McConville;Z;NIR;N;21;D;S;Cab;Imp;0
Jacob Wright;V;ENG;N;20;D;N;Pas;Vis;0
Mirko Topić;V;SRB;N;25;D;N;Des;For;0
Sam Field;V;ENG;N;28;E;N;Mar;Res;0
Amankwah Forson;M;GHA;N;23;E;N;Dri;Agi;0
Andre Brooks;M;ENG;N;22;E;S;Dri;Agi;0
Anis Ben Slimane;M;TUN;N;25;A;N;Arm;Cri;0
Kenny McLean;M;SCT;N;34;E;S;Pas;Vis;0
Liam Gibbs;M;ENG;N;23;D;N;Pas;Res;0
Oscar Schwartau;M;DNK;N;20;D;S;Arm;Agi;0
Paris Maghoma;M;ENG;N;25;D;N;Dri;Cri;0
Pelle Mattsson;M;DNK;N;24;D;S;Pas;Res;0
Ali Ahmed;P;CAN;N;25;D;N;Dri;Cri;0
Anthony Musaba;P;NLD;N;25;D;N;Cru;Ace;0
Papa Amadou Diallo;P;SEN;N;22;D;N;Dri;Vel;0
Ante Crnac;A;HRV;N;22;E;N;Fin;For;0
Errol Mundle-Smith;A;ENG;N;20;D;N;Dri;Vel;0
Jovon Makama;A;ENG;N;22;D;S;Fin;Imp;0
Mathias Kvistgaarden;A;DNK;N;24;D;N;Fin;Vel;0
Mohamed Touré;A;AUS;N;22;D;N;Fin;Vel;0
