Bochum;DEU;74;Vonovia Ruhrstadion;Uwe Rösler;DEU;005BA5;FFFFFF;26000
Hugo Rölleke;G;DEU;N;21;D;N;Sgo;For;0
Timo Horn;G;DEU;N;33;E;S;Sgo;For;0
Tino Casali;G;AUT;N;30;D;N;Col;Con;0
Leon Sawas;L;DEU;N;19;A;N;Pos;Agi;0
Maximilian Wittek;L;DEU;N;31;E;S;Pos;Res;0
Oliver Olsen;L;DNK;N;26;A;S;Cru;Ace;0
Sean Klaiber;L;SUR;N;32;D;N;Cru;For;0
Karol Mets;Z;EST;N;33;E;S;Pos;Res;0
Michael Steinwender;Z;AUT;N;26;D;S;Pos;For;0
Philipp Strompf;Z;DEU;N;28;E;N;Ant;Vel;0
Yiğit Karademir;Z;TUR;N;22;D;N;Mar;Con;0
Enis Cokaj;V;ALB;N;27;D;S;Pas;Res;0
Lasse Isbruch;V;DEU;N;18;D;N;Des;Con;0
Berkan Taz;M;DEU;N;27;A;S;Arm;Vis;0
Charlie Patiño;M;ENG;N;22;E;N;Pas;Vis;0
Jean Manuel Mbom;M;DEU;N;26;D;N;Pas;Res;0
Koji Miyoshi;M;JPN;N;29;E;S;Dri;Agi;0
Mats Pannewig;M;DEU;N;21;D;S;Chu;Agi;0
Tom Meyer;M;DEU;N;18;D;N;Pas;Agi;0
Alessandro Crimaldi;P;ITA;N;18;E;N;Pas;Agi;0
Babis Drakas;P;DEU;N;23;D;N;Fin;Ace;0
Christian Rasmussen;P;DNK;N;23;E;N;Cru;Cri;0
Gerrit Holtmann;P;PHL;N;31;E;S;Cru;Vel;0
Jarne Steuckers;P;BEL;N;24;E;N;Arm;Cri;0
Daniel Hanslik;A;DEU;N;29;E;N;Chu;Fri;0
Luis Pick;A;DEU;N;18;A;N;Pas;For;0
Mansour Ouro-Tagba;A;TGO;N;21;D;N;Dri;Vel;0
Philipp Hofmann;A;DEU;N;33;E;S;Cab;Imp;0
