Avellino;ITA;70;Partenio-Adriano Lombardi;Alessandro Nesta;ITA;0C6912;FFFFFF;11500
Antony Iannarilli;G;ITA;N;35;D;N;Col;Con;0
Jacopo Sassi;G;ITA;N;23;D;N;Col;Imp;0
Tommaso Martinelli;G;ITA;N;20;D;S;Ref;Fle;0
Brando Moruzzi;L;ITA;N;22;E;S;Mar;Vel;0
Filippo Missori;L;ITA;N;22;D;N;Pas;Vel;0
Marco Sala;L;ITA;N;27;E;N;Cru;Vel;0
Tommaso Cancellotti;L;ITA;N;34;D;S;Cru;Ace;0
Alessandro Di Bitonto;Z;ITA;N;20;D;N;Mar;Vel;0
Alessandro Fontanarosa;Z;ITA;N;23;E;N;Ant;Con;0
Armando Izzo;Z;ITA;N;34;D;S;Mar;For;0
Donato Solaro;Z;ITA;N;20;D;N;Pos;Con;0
Lorenco Simic;Z;HRV;N;30;D;S;Cab;Imp;0
Michael Venturi;Z;ITA;N;27;D;N;Cab;For;0
Patrick Enrici;Z;ITA;N;25;D;N;Des;Con;0
Dimitrios Sounas;V;GRC;N;32;D;N;Pas;Vis;0
Giacomo Faticanti;V;ITA;N;22;D;N;Pas;Vis;0
Luca Palmiero;V;ITA;N;30;D;S;Ant;Con;0
Emanuele Adamo;M;ITA;N;28;D;N;Pas;Res;0
Luca Di Maggio;M;ITA;N;21;D;N;Pas;Agi;0
Martin Palumbo;M;NOR;N;24;E;S;Fin;Vis;0
Michele Besaggio;M;ITA;N;24;D;S;Pas;Res;0
Thomas Berenbruch;M;ITA;N;21;E;N;Dri;Vis;0
Raffaele Russo;P;ITA;N;27;D;S;Arm;Ace;0
Sebastiano Di Paolo;P;ITA;N;19;E;N;Fin;Agi;0
Andrea Favilli;A;ITA;N;29;D;S;Pas;For;0
Daniel Fila;A;CZE;N;24;E;N;Fin;For;0
Luca Pandolfi;A;ITA;N;28;D;N;Pas;Res;0
Tommaso Biasci;A;ITA;S;31;D;S;Fin;Fri;0
Walid Cheddira;A;MAR;N;28;D;N;Fin;Vel;0
