Tondela;PRT;70;João Cardoso;Ricardo Costa;PRT;FFFF00;226B05;5000
Carlão;G;BRA;N;22;D;N;Ref;For;0
Lucas Cañizares;G;ESP;N;24;D;S;Sgo;Con;0
Ruly García;G;ESP;S;26;E;N;Col;Con;0
Bebeto;L;BRA;N;36;D;N;Des;Res;0
Carraça;L;PRT;N;33;D;S;Cru;Res;0
Gabriel Ramalho;L;PRT;N;19;E;N;Pos;Agi;0
Zé Ricardo;L;BRA;N;27;E;S;Des;Res;0
Brayan Medina;Z;COL;N;24;E;S;Des;Vel;0
Bruno Almeida;Z;CPV;N;26;D;N;Des;For;0
Christian Marques;Z;PRT;N;23;D;S;Pos;Con;0
Farru;Z;ESP;N;25;D;S;Pos;Vel;0
Ian Kamga;Z;ENG;N;21;E;N;Pos;Con;0
João Afonso;Z;PRT;N;36;D;N;Ant;Con;0
Cícero;V;BRA;N;29;D;S;Mar;Con;0
Mateus Sarará;V;BRA;N;24;D;N;Chu;Vis;0
Cascavel;M;PRT;N;21;D;S;Fin;Cri;0
Hugo Félix;M;PRT;N;22;D;S;Arm;Cri;0
Hélder Tavares;M;CPV;N;36;D;S;Pas;Vis;0
Leonardo Silva;M;PRT;N;20;D;N;Pas;Vis;0
Richarllyson;M;BRA;N;18;D;N;Fin;Cri;0
Xabi Huarte;M;ESP;N;25;D;N;Pas;Agi;0
Yaya Sithole;M;ZAF;N;27;D;N;Pas;Res;0
Arjen van der Heide;P;NLD;N;24;E;N;Dri;Agi;0
Gastón Novero;P;ARG;N;28;D;N;Dri;Agi;0
Henry Addo;P;GHA;N;23;D;N;Dri;Ace;0
Tiago Dias;P;PRT;N;28;E;N;Fin;Vel;0
João Lima;A;BRA;N;26;D;S;Fin;Fri;0
Tomané;A;PRT;N;33;D;N;Fin;For;0
