Barracas Central;ARG;76;Claudio Chiqui Tapia;Damián Ayude;ARG;FA0000;FFFFFF;10000
Juan Espínola;G;PRY;N;31;D;N;Sgo;Fle;0
Marcelo Miño;G;ARG;S;28;D;S;Col;Imp;0
Damián Martínez;L;ARG;N;36;D;N;Cru;Vel;0
Elías Pereyra;L;ARG;N;27;E;S;Pos;Vel;0
Rafael Barrios;L;ARG;N;32;D;S;Cru;Res;0
Rodrigo Insúa;L;ARG;N;28;E;S;Pas;For;0
Fernando Tobio;Z;ARG;N;36;D;S;Pos;For;0
Gastón Campi;Z;ARG;N;34;E;S;Mar;Imp;0
Kevin Jappert;Z;ARG;N;21;D;S;Des;Vel;0
Nicolás Capraro;Z;ARG;N;27;D;N;Mar;Con;0
Yonatthan Rak;Z;URY;N;32;D;N;Pos;Res;0
Carlos Arce;V;ARG;N;35;D;N;Pas;Vis;0
Dardo Miloc;V;ARG;N;35;D;N;Chu;Con;0
Esteban Rolón;V;ARG;N;31;D;S;Chu;Agi;0
Yeison Gordillo;V;COL;N;33;D;N;Mar;Con;0
Gonzalo Maroni;M;ARG;N;26;D;N;Pas;Res;0
Iván Guaraz;M;ARG;N;20;D;N;Chu;Fri;0
Iván Tapia;M;ARG;N;27;D;S;Pas;Cri;0
Manuel Duarte;M;ARG;N;24;D;N;Chu;Agi;0
Maximiliano Puig;M;ARG;N;25;D;N;Fin;Fri;0
Rodrigo Bogarín;M;PRY;N;28;D;N;Chu;Res;0
Tomás Porra;M;ARG;N;22;E;S;Pas;Res;0
Enzo Taborda;P;ARG;N;20;D;N;Arm;Cri;0
Norberto Briasco;P;ARM;N;29;A;N;Cru;Ace;0
Facundo Bruera;A;ARG;N;27;D;S;Pas;Vel;0
Gonzalo Morales;A;ARG;N;22;E;N;Fin;Imp;0
Jhonatan Candia;A;URY;N;30;D;N;Pas;Res;0
Juan Barbieri;A;ARG;N;29;D;N;Chu;Imp;0
Lucas Gamba;A;ARG;N;38;D;N;Cab;Vel;0
Nicolás Orsini;A;ARG;N;31;D;N;Pas;Res;0
