Hamburgo;DEU;83;Volksparkstadion;Merlin Polzin;DEU;014495;FFFFFF;57000
Elias Lahti;G;FIN;N;17;D;N;Ref;Con;0
Fernando Dickes;G;DEU;N;18;E;N;Rbo;Con;0
Heuer Fernandes;G;PRT;N;33;D;S;Ref;Fri;0
Sander Tangvik;G;NOR;N;23;D;N;Col;Imp;0
David Møller Wolfe;L;NOR;N;24;E;N;Pos;Agi;0
Louis Lemke;L;DEU;N;16;E;S;Pos;Ace;0
Miro Muheim;L;CHE;N;28;E;N;Cru;Vel;0
Zakaria El Ouahdi;L;MAR;N;24;D;N;Cru;Ace;0
Daniel Elfadli;Z;LBY;N;29;D;N;Ant;Vel;0
Joel Agyekum;Z;DEU;N;21;E;N;Des;For;0
Jordan Torunarigha;Z;NGA;N;29;E;N;Pos;Vel;0
Sebastiaan Bornauw;Z;BEL;N;27;D;S;Ant;Vel;0
Shafiq Nandja;Z;DEU;N;19;D;S;Mar;Vel;0
Warmed Omari;Z;COM;N;26;D;N;Ant;For;0
Kofi Amoako;V;DEU;N;21;D;N;Chu;For;0
Nicolai Remberg;V;DEU;N;26;D;S;Des;Con;0
Albert Grønbaek;M;DNK;N;25;D;S;Pas;Cri;0
Bilal Nadir;M;MAR;N;22;E;N;Pas;Vis;0
Fábio Vieira;M;PRT;N;26;E;N;Chu;Agi;0
Immanuel Pherai;M;SUR;N;25;D;N;Pas;Vis;0
Martin Adeline;M;FRA;N;22;D;S;Dri;Res;0
Nicolás Capaldo;M;ARG;N;27;D;S;Pas;Fri;2
Sambi Lokonga;M;BEL;N;26;D;S;Pas;Res;0
Bakery Jatta;P;GMB;N;28;D;S;Dri;Vel;0
Røssing-Lelesiit;P;NOR;N;19;D;N;Cru;Agi;0
Otto Stange;A;DEU;N;19;D;N;Cab;Vel;0
Patson Daka;A;ZMB;N;27;D;S;Fin;Vel;0
Terem Moffi;A;NGA;N;27;E;N;Fin;For;0
Yussuf Poulsen;A;DNK;N;32;D;N;Fin;Fri;6
