Dynamo Dresden;DEU;74;Rudolf-Harbig-Stadion;Thomas Stamm;CHE;F0CA00;000000;32000
Daniel Mesenhöler;G;DEU;N;30;D;N;Sgo;Con;0
Elias Bethke;G;DEU;N;23;D;N;Ref;For;0
Lennart Grill;G;DEU;N;27;D;N;Ref;Imp;0
Tim Schreiber;G;DEU;N;24;D;S;Col;Imp;0
Alexander Rossipal;L;DEU;N;30;E;S;Pas;Ace;0
Brooklyn Ezeh;L;DEU;N;25;E;N;Cru;For;0
Jonas Sterner;L;DEU;N;24;D;N;Cru;Vel;0
Kenneth Schmidt;L;DEU;N;24;E;S;Mar;Agi;0
Simon Straudi;L;ITA;N;27;D;N;Pas;Agi;0
Ahmet Muhamedbegovic;Z;AUT;N;27;E;N;Pos;Con;0
Friedrich Müller;Z;DEU;N;20;A;N;Pos;For;0
Lars Bünning;Z;DEU;N;28;E;S;Mar;Res;0
Lukas Boeder;Z;DEU;N;29;D;S;Pos;Res;0
Thomas Keller;Z;DEU;N;26;D;N;Pos;Con;0
Till Neininger;Z;DEU;N;19;D;N;Des;For;0
Nicolai Rapp;V;DEU;N;29;D;S;Pas;Res;0
Luca Herrmann;M;DEU;N;27;D;N;Pas;Cri;0
Niklas Hauptmann;M;DEU;N;30;E;S;Chu;Vis;0
Nils Fröling;M;SWE;N;26;D;S;Pas;Vis;0
Patrice Covic;M;HRV;N;19;D;N;Chu;Cri;0
Quentin Enold;M;DEU;N;18;D;N;Pas;Res;0
Robert Wagner;M;DEU;N;23;D;N;Fin;Cri;0
Tobias Raschl;M;DEU;N;26;D;N;Fin;Fri;0
Jakob Lemmer;P;DEU;N;26;D;S;Dri;Vel;0
Ben Bobzien;A;DEU;N;23;D;N;Fin;Vel;0
Christoph Daferner;A;DEU;N;28;D;S;Fin;Imp;0
Kaan Inanoglu;A;TUR;N;20;A;N;Fin;Vel;0
Kennedy Okpala;A;DEU;N;21;D;N;Fin;For;0
Vincent Vermeij;A;NLD;N;31;D;S;Cab;Imp;0
