Académica Coimbra;PRT;68;Estádio Cidade de Coimbra;António Barbosa;PRT;000000;FFFFFF;29500
Carlos Alves;G;PRT;N;28;D;S;Col;Con;0
Nuno Macedo;G;PRT;N;27;D;N;Ref;Con;0
Victor Braga;G;BRA;N;34;D;N;Ref;Imp;0
Edson Farias;L;BRA;N;34;D;S;Des;For;0
Hélder Lopes;L;PRT;N;37;E;S;Pas;For;0
Káká;L;PRT;N;33;E;N;Pos;Agi;0
Pontus Texel;L;DNK;N;22;D;N;Pos;Agi;0
Gui Silva;Z;BRA;N;25;E;N;Cab;Imp;0
Kauan;Z;BRA;N;23;D;N;Mar;For;0
Ni;Z;PRT;N;23;E;S;Cab;Imp;0
Ricardo Teixeira;Z;PRT;N;25;D;S;Mar;Con;0
João Oliveira;V;PRT;N;34;E;N;Chu;Con;0
Hugo Nunes;M;PRT;N;24;D;N;Pas;Agi;0
Jean Sinisterra;M;COL;N;26;D;S;Dri;Vis;0
Leandro Silva;M;PRT;N;32;D;S;Pas;Vis;0
Marcos Paulo;M;BRA;N;38;D;S;Fin;Fri;0
Rebelo;M;PRT;N;22;D;N;Fin;Cri;0
Tiago Soares;M;PRT;N;16;E;N;Pas;Vis;0
Afonso Rodrigues;P;PRT;N;24;E;S;Fin;Ace;0
Alioune Mané;P;SEN;N;23;D;S;Dri;Res;0
Rui Gomes;P;PRT;N;28;E;N;Fin;Agi;0
Amadou Coundoul;A;SEN;N;24;D;N;Fin;For;0
Ilies Faure;A;FRA;N;25;E;S;Fin;Fri;0
Martim Tavares;A;PRT;N;22;D;N;Fin;For;0
