Cardiff City;ENG;75;Cardiff City Stadium;Brian Barry-Murphy;IRL;0070B5;FFFFFF;33000
Harry Tyrer;G;ENG;N;24;D;N;Ref;Imp;0
Matthew Turner;G;WLS;N;24;D;N;Ref;Con;0
Nathan Trott;G;ENG;N;27;E;S;Ref;Con;0
Calum Scanlon;L;ENG;N;21;E;N;Des;For;0
Joel Bagan;L;IRL;N;24;E;S;Cru;Agi;0
Perry Ng;L;ENG;N;30;D;S;Des;For;0
Ronan Kpakio;L;WLS;N;19;D;S;Pas;Agi;0
Calum Chambers;Z;ENG;N;31;D;N;Pos;Con;0
Dylan Lawlor;Z;WLS;N;20;D;N;Ant;Vel;0
Gabriel Osho;Z;NGA;N;28;D;S;Des;For;0
Krystian Bielik;Z;POL;N;28;D;N;Ant;For;0
Will Fish;Z;ENG;N;23;D;N;Cab;Imp;0
Dakarai Mafico;V;WLS;N;19;E;N;Pas;Res;0
Eli King;V;WLS;N;23;D;N;Pas;For;0
Alex Robertson;M;AUS;N;23;D;S;Pas;Vis;0
David Turnbull;M;SCT;N;27;D;N;Chu;Vis;0
Jack Moylan;M;IRL;N;24;D;S;Fin;Agi;0
Joel Colwill;M;WLS;N;21;D;N;Pas;Res;0
Rubin Colwill;M;WLS;N;24;D;N;Arm;Vis;0
Chris Willock;P;ENG;N;28;D;S;Arm;Agi;0
Cian Ashford;P;WLS;N;21;A;S;Dri;Agi;0
Isaak Davies;P;WLS;N;24;D;N;Fin;Vel;0
Ollie Tanner;P;ENG;N;24;E;S;Arm;Agi;0
Tanatswa Nyakuhwa;P;WLS;N;20;D;N;Cru;Vel;0
Callum Robinson;A;IRL;N;31;D;N;Fin;Fri;0
Kion Etete;A;ENG;N;24;D;N;Cab;For;0
Yousef Salech;A;DNK;N;24;D;S;Cab;For;0
