Keciörengücü;TUR;66;Aktepe Stadı;Osman Zeki Korkmaz;TUR;4B2163;FFFFFF;4500
Efe Kaan Yıldız;G;TUR;N;22;D;N;Sgo;Imp;0
Emre Satılmış;G;TUR;N;29;D;S;Rbo;Imp;0
Mehmet Erdoğan;G;TUR;N;22;D;N;Rbo;For;0
Berkan Keskin;L;TUR;N;24;D;S;Cru;For;0
Duhan Aksu;L;TUR;N;28;E;N;Cru;Agi;0
Görkem Akdere;L;TUR;N;23;E;N;Cru;Ace;0
Oktay Gürdal;L;TUR;N;24;D;N;Pas;Res;0
Süleyman Luş;L;TUR;N;25;E;S;Pos;Ace;0
Yunus Bahadır;L;TUR;N;24;D;N;Cru;Res;0
Abdullah Celik;Z;AUT;N;29;E;N;Pos;Vel;0
Oğuzcan Çalışkan;Z;TUR;N;23;D;S;Mar;For;0
Wellington Nascimento;Z;BRA;N;31;D;S;Mar;Res;0
Yunus Emre Metin;Z;TUR;N;22;E;N;Des;Con;0
Alper Duman;V;TUR;N;21;D;N;Mar;Con;0
Erkam Develi;V;TUR;N;26;D;N;Ant;Con;0
İshak Karaoğul;V;TUR;N;24;D;S;Mar;Res;0
Oğuzhan Ayaydın;V;TUR;N;25;D;N;Des;For;0
Enes Yılmaz;M;TUR;N;21;D;N;Pas;Agi;0
Halil Can Ayan;M;TUR;N;24;E;N;Chu;Vis;0
İbrahim Akdağ;M;TUR;N;35;D;S;Chu;Res;0
Jefferson;M;BRA;N;32;D;S;Pas;Agi;0
Recep Taşbakır;M;TUR;N;23;E;N;Pas;Fri;0
Alcídio Raice;P;MOZ;N;21;D;N;Cru;Vel;0
Francis Ezeh;P;NGA;N;28;D;S;Dri;Vel;0
Moryké Fofana;P;CIV;N;34;D;N;Cru;Ace;0
Odise Roshi;P;ALB;N;35;D;S;Dri;Cri;0
Pape Marega;P;SEN;N;20;E;N;Cru;Vel;0
Ali Akman;A;TUR;N;24;D;N;Fin;Res;0
Herculano Nabian;A;PRT;N;22;D;N;Fin;Fri;0
Mame Diouf;A;SEN;N;38;D;S;Chu;Res;0
