Guarani;BRA;62;Brinco de Ouro;Elio Sizenando;BRA;006C50;FFFFFF;20500
Caíque França;G;BRA;N;31;E;S;Ref;Fri;0
Mateus Claus;G;BRA;N;31;D;N;Ref;Con;0
Dudu;L;BRA;N;29;D;N;Pas;Vel;0
Emerson Barbosa;L;BRA;N;27;E;S;Cru;Res;0
Renan Castro;L;BRA;N;30;E;N;Des;Res;0
Rian;L;BRA;N;22;D;N;Cru;Agi;0
Yan;L;BRA;N;20;D;N;Des;For;0
Ynaiã;L;BRA;N;27;D;N;Cru;Res;0
Edson;Z;BRA;N;23;D;N;Des;For;0
Jonathan Costa;Z;BRA;N;31;D;S;Pos;Con;0
Maurício Antônio;Z;BRA;N;34;D;S;Cab;Imp;0
Rafael Donato;Z;BRA;N;37;D;N;Cab;Imp;0
Raphael;Z;BRA;N;27;D;S;Pos;Con;0
Carlos Eduardo;V;BRA;N;25;D;N;Pas;Vis;0
Nathan Melo;V;BRA;N;25;D;S;Des;For;0
Ralf;V;BRA;N;42;D;N;Des;Con;0
Willian Farias;V;BRA;N;37;D;S;Mar;Con;0
Diego Torres;M;ARG;N;35;E;N;Arm;Vis;0
Igor Pereira;M;BRA;N;25;D;N;Pas;Vis;0
Isaque;M;BRA;N;29;D;S;Pas;Agi;0
João Paulo;M;BRA;N;36;D;S;Arm;Vis;0
Kauã Jesus;M;BRA;N;22;E;N;Arm;Cri;0
Guilherme Cachoeira;P;BRA;N;24;D;N;Dri;Agi;0
Hebert;P;BRA;N;26;D;N;Fin;Vel;0
Lucca;P;BRA;N;36;D;N;Fin;Cri;0
Mirandinha;P;BRA;N;26;D;S;Dri;Vel;0
Éverton Brito;P;BRA;N;31;A;N;Dri;Vel;0
Kewen;A;BRA;N;21;D;N;Fin;Vel;0
Maranhão;A;BRA;N;30;D;S;Pas;For;0
Neto Costa;A;BRA;N;29;E;N;Fin;Res;0
