Heerenveen;NLD;80;Abe Lenstra Stadion;Robin Veldman;NLD;005EA7;FFFFFF;27000
Andries Noppert;G;NLD;N;32;E;S;Sgo;For;0
Bernt Klaverboer;G;NLD;N;20;D;N;Col;Fri;0
Darling Bladi;L;FRA;N;22;E;N;Cru;Vel;0
Mats Egbring;L;NLD;N;19;D;N;Pas;Vel;0
Oliver Braude;L;NOR;N;22;A;N;Cru;Agi;0
Vasilios Zagaritis;L;GRC;N;25;E;S;Mar;For;0
Hristiyan Petrov;Z;BGR;N;24;E;S;Mar;Vel;0
Maas Willemsen;Z;NLD;N;23;E;S;Ant;Vel;0
Mees Hilgers;Z;IDN;N;25;D;N;Mar;For;0
Sam Kersten;Z;NLD;N;28;D;S;Des;Con;0
Dirk Proper;V;NLD;N;24;D;N;Mar;For;0
Levi Smans;M;NLD;N;23;D;S;Arm;Agi;0
Luuk Brouwers;M;NLD;N;28;D;S;Fin;Res;0
Marcus Linday;M;SWE;N;23;D;N;Chu;Vis;0
Nolhan Courtens;M;COD;N;19;D;N;Fin;Fri;0
Ringo Meerveld;M;NLD;N;23;D;N;Pas;Agi;0
Jacob Trenskow;P;DNK;N;25;E;S;Pas;Vel;0
Jermaine Rijssel;P;SUR;N;21;D;N;Pas;Vel;0
Luca Oyen;P;BEL;N;23;D;S;Arm;Vel;0
Marko Farji;P;IRQ;N;22;D;N;Fin;Ace;0
Maxence Rivera;P;FRA;N;24;D;S;Dri;Vel;0
Dylan Vente;A;SUR;N;27;D;S;Fin;Imp;0
Lanroy Machine;A;FRA;N;20;D;N;Fin;Imp;0
