Preston North End;ENG;75;Deepdale;Paul Heckingbottom;ENG;FFFFFF;0A075C;23000
Daniel Iversen;G;DNK;N;29;D;S;Ref;Con;0
Lee Nicholls;G;ENG;N;33;D;N;Col;Imp;0
Andrija Vukcevic;L;MNE;N;29;E;N;Pas;Agi;0
Brad Potts;L;ENG;N;32;D;N;Pas;Res;0
Harry Clarke;L;ENG;N;25;D;N;Des;For;0
Kacper Pasiek;L;POL;N;20;E;N;Mar;Ace;0
Pol Valentín;L;ESP;N;29;D;S;Cru;Vel;0
Thierry Small;L;ENG;N;22;E;N;Cru;Ace;0
Andrew Hughes;Z;WLS;N;34;E;S;Pos;For;0
Jordan Storey;Z;ENG;N;28;D;S;Cab;Imp;0
Lewis Gibson;Z;ENG;N;26;E;N;Ant;Con;0
Liam Lindsay;Z;SCT;N;30;D;S;Des;For;0
Odeluga Offiah;Z;ENG;N;23;D;S;Mar;Vel;0
Alfie Devine;M;ENG;N;22;D;S;Arm;Vis;0
Ali McCann;M;NIR;N;26;D;S;Pas;Res;0
Andrew Moran;M;IRL;N;22;D;N;Dri;Agi;0
Jordan Thompson;M;NIR;N;29;E;S;Pas;Vis;0
Kaedyn Kamara;M;ENG;N;20;D;N;Arm;Agi;0
Léo Leroy;M;FRA;N;26;D;N;Pas;Vis;0
Theo Carroll;M;ENG;N;19;D;N;Pas;Res;0
Callum Lang;P;ENG;N;27;D;S;Fin;Res;0
Delano Burgzorg;P;SUR;N;27;D;S;Dri;Vel;0
Stanley Mills;P;ENG;N;22;D;N;Arm;Res;0
Jusef Erabi;A;SWE;N;23;D;N;Fin;For;0
Max Wilson;A;NIR;N;19;D;N;Pas;Vel;0
