Mainz 05;DEU;86;Mewa Arena;Urs Fischer;CHE;FF0000;FFFFFF;33000
Alexander Schwolow;G;DEU;N;34;D;S;Ref;Con;0
Maximilian Kinzig;G;DEU;N;22;D;N;Sgo;Con;0
Robin Zentner;G;DEU;N;31;D;S;Col;Fle;0
Anthony Caci;L;FRA;N;29;A;N;Pas;Vel;0
Phillipp Mwene;L;AUT;N;32;D;N;Des;Vel;0
Silvan Widmer;L;CHE;N;33;D;S;Mar;Vel;0
Danny da Costa;Z;DEU;N;33;D;S;Ant;For;0
Dominik Kohr;Z;DEU;N;32;D;S;Cab;For;0
Fabio Gruber;Z;PER;N;23;D;S;Mar;Imp;0
Kacper Potulski;Z;POL;N;18;D;N;Ant;Vel;0
Stefan Bell;Z;DEU;N;34;D;N;Cab;Res;0
Stefan Posch;Z;AUT;N;29;D;N;Des;For;0
Eric Martel;V;DEU;N;24;D;S;Ant;Vis;0
Kaishu Sano;V;JPN;N;25;D;S;Pas;Con;0
Lennard Maloney;V;USA;N;26;D;N;Ant;Agi;0
Sota Kawasaki;V;JPN;N;24;A;N;Ant;Agi;0
Hyun-seok Hong;M;KOR;N;27;E;N;Pas;Agi;0
Jae-sung Lee;M;KOR;N;33;E;S;Pas;Fri;0
Marco Richter;M;DEU;N;28;D;N;Dri;Agi;0
Nadiem Amiri;M;DEU;N;29;D;S;Pas;Vis;0
Otto Ruoppi;M;FIN;N;20;D;N;Arm;Vis;0
Paul Nebel;M;DEU;N;23;A;N;Dri;Cri;0
Sheraldo Becker;P;SUR;N;31;D;N;Dri;Vel;0
Silas;P;COD;N;27;D;N;Dri;Ace;0
Benedict Hollerbach;A;DEU;N;25;A;N;Fin;Vel;0
Königsdörffer;A;GHA;N;24;D;S;Fin;Imp;0
Phillip Tietz;A;DEU;N;29;D;N;Chu;Fri;0
William Bøving;A;DNK;N;23;A;N;Fin;Fri;0
