Bologna;ITA;86;Stadio Renato Dall’Ara;Domenico Tedesco;ITA;C70E0E;16106E;36000
Lukasz Skorupski;G;POL;N;35;D;S;Ref;Con;0
Massimo Pessina;G;ITA;N;18;D;N;Ref;Con;0
Ukko Happonen;G;FIN;N;19;D;N;Ref;Fri;0
Emil Holm;L;SWE;N;26;D;S;Cru;Res;0
Juan Miranda;L;ESP;N;26;E;S;Mar;Vel;0
Lorenzo De Silvestri;L;ITA;N;38;D;N;Mar;Res;0
Nadir Zortea;L;ITA;N;27;D;N;Pas;Vel;0
Rahim Alhassane;L;NER;N;24;E;S;Pos;Vel;0
Arthur Theate;Z;BEL;N;26;E;N;Des;Imp;0
Eivind Helland;Z;NOR;N;21;D;S;Pos;For;0
Martin Vitík;Z;CZE;N;23;D;N;Cab;For;0
Nicolò Casale;Z;ITA;N;28;D;N;Mar;For;0
Torbjørn Heggem;Z;NOR;N;27;E;S;Mar;Imp;0
Nikola Moro;V;HRV;N;28;D;N;Des;Con;0
Oussama El Azzouzi;V;MAR;N;25;D;N;Ant;For;0
Federico Cassa;M;ITA;N;20;D;N;Dri;Agi;0
Jens Odgaard;M;DNK;N;27;E;S;Chu;Cri;0
Lewis Ferguson;M;SCT;N;27;D;S;Dri;Cri;2
Mikel Amondarain;M;ARG;N;21;D;N;Chu;Res;0
Tommaso Pobega;M;ITA;N;27;E;N;Fin;Res;0
Bernardeschi;P;ITA;N;32;E;S;Dri;Cri;0
Jesper Karlsson;P;SWE;N;28;D;N;Dri;Cri;0
Nicolò Cambiaghi;P;ITA;N;25;D;S;Arm;Vel;0
Riccardo Orsolini;P;ITA;N;29;E;N;Fin;Cri;0
Samuel Mbangula;P;BEL;N;22;D;N;Dri;Vel;0
Artem Dovbyk;A;UKR;N;29;E;N;Fin;For;0
Jay Enem;A;NLD;N;23;D;N;Fin;For;0
Roberto Piccoli;A;ITA;N;25;D;S;Cab;For;0
