São José-RS;BRA;49;Passo d'Areia;Argel Fuchs;BRA;FFFFFF;21265B;14000
Alex Peralta;G;PRY;N;24;D;N;Ref;Fle;0
Fábio Rampi;G;BRA;N;37;D;S;Ref;Fri;0
Marcão;G;BRA;N;23;D;N;Col;Con;0
Danilo Guimarães;L;BRA;N;28;D;N;Mar;For;0
Mateus Pureza;L;BRA;N;22;D;S;Des;Agi;0
Michel;L;BRA;N;27;E;S;Cru;Vel;0
Raphael Soares;L;BRA;N;34;E;N;Pas;Agi;0
Bruno Jesus;Z;BRA;N;29;D;N;Ant;Vel;0
Diney;Z;BRA;N;26;A;N;Cab;Imp;0
Eduardo Melo;Z;BRA;N;32;D;S;Pos;Con;0
Tiago Pedra;Z;BRA;N;36;D;S;Des;For;0
Anderson;V;BRA;N;22;A;N;Mar;Agi;0
Igor Guilherme;V;BRA;N;29;D;N;Ant;Con;0
Keverton;V;BRA;N;25;D;S;Des;For;0
Zé Vitor;V;BRA;N;27;D;S;Pas;Vis;0
Adão;M;BRA;N;24;D;N;Fin;Agi;0
Anderson Dias;M;BRA;N;21;D;S;Dri;Agi;0
Gabriel Lima;M;BRA;N;29;D;N;Pas;Cri;0
Gustavo Bagatini;M;BRA;N;22;D;S;Pas;Vis;0
Ivo;M;BRA;N;39;E;N;Arm;Vis;0
Péricles;M;BRA;N;27;D;N;Dri;Cri;0
Andrey Nunes;P;BRA;N;26;D;S;Dri;Ace;0
Gustavo Lino;P;BRA;N;21;D;N;Cru;Agi;0
Caíque;A;BRA;N;21;A;N;Fin;Vel;0
Douglas Oliveira;A;BRA;N;31;D;N;Cab;For;0
Felipe Rodrigues;A;BRA;N;21;D;N;Pas;Imp;0
Igor Cássio;A;BRA;N;28;D;N;Fin;For;0
Lucas Grafite;A;BRA;N;29;D;S;Dri;Vel;0
