Académico Viseu;PRT;77;Municipal do Fontelo;Bruno Pinheiro;PRT;000000;FFFFFF;6500
Ewerton;G;BRA;N;28;D;S;Rbo;Con;0
Juan Soriano;G;ESP;N;29;D;N;Ref;Con;0
Marcos Lavín;G;ESP;N;29;D;N;Col;Fle;0
Matheus Sampaio;G;BRA;N;21;D;N;Col;Con;0
Raphael Nunes;G;BRA;N;20;E;N;Col;Imp;0
Gu Costa;L;PRT;N;20;E;N;Pos;Res;0
Igor Milioransa;L;BRA;N;29;E;S;Mar;For;0
Tomás Domingos;L;PRT;N;27;D;N;Pos;Agi;0
Anthony Correia;Z;FRA;N;26;A;S;Ant;Con;0
Nikolaos Michelis;Z;GRC;N;25;E;N;Ant;Imp;0
Pedro Barcelos;Z;BRA;N;30;E;S;Des;For;0
Rúben Pereira;Z;PRT;N;28;D;N;Mar;For;0
Andro Babic;V;HRV;N;21;D;N;Ant;Agi;0
André Ceitil;V;PRT;N;31;D;N;Mar;For;0
Alejandro Mestanza;M;ESP;N;21;D;S;Fin;Vis;0
Cihan Kahraman;M;TUR;N;27;D;S;Arm;Vis;0
Cristian Ferreira;M;ARG;N;26;D;N;Chu;Res;0
Luís Silva;M;PRT;N;33;E;N;Pas;Res;0
Soufiane Messeguem;M;DEU;N;25;E;S;Pas;Cri;0
Tomás Silva;M;PRT;N;22;E;N;Arm;Res;0
João Guilherme;P;BRA;N;25;D;S;Fin;Vel;0
Lorougnon Gohi;P;CIV;N;22;A;N;Dri;Vel;0
Nils Mortimer;P;ESP;N;25;E;N;Dri;Vel;0
Robinho;P;PRT;N;29;D;S;Pas;Ace;0
Álvaro Zamora;P;CRI;N;24;D;S;Fin;Res;0
André Clóvis;A;BRA;S;28;D;S;Fin;Fri;0
Dominik Steczyk;A;POL;N;27;D;N;Pas;For;0
Mohamed Bouldini;A;MAR;N;30;D;N;Cab;For;0
Paulinho;A;PRT;N;26;D;N;Fin;Fri;0
