Celta de Vigo;ESP;86;Abanca Balaídos;Claudio Giráldez;ESP;99CCFF;FFFFFF;24500
Altay Bayındır;G;TUR;N;28;D;N;Col;For;0
Ionuț Radu;G;ROU;N;29;D;S;Ref;Con;0
Iván Villar;G;ESP;N;29;D;N;Col;For;0
Javi Galán;L;ESP;N;31;E;N;Cru;Vel;0
Javi Rueda;L;ESP;N;24;D;S;Pas;Agi;0
Marcos Alonso;L;ESP;N;35;E;S;Pas;Agi;0
Sergio Carreira;L;ESP;N;25;D;S;Pas;For;0
Álvaro Núñez;L;ESP;N;26;D;N;Cru;Agi;0
Abdoulaye Faye;Z;SEN;N;21;E;N;Cab;Imp;0
Carl Starfelt;Z;SWE;N;31;D;S;Pos;Con;0
Javi Rodríguez;Z;ESP;N;23;D;S;Pos;Con;0
Sebastián Cáceres;Z;URY;N;26;D;N;Cab;Imp;0
Yoel Lago;Z;ESP;N;22;D;N;Mar;For;0
Ilaix Moriba;V;GIN;N;23;D;S;Des;Agi;0
Miguel Román;V;ESP;N;23;D;S;Pas;Vis;0
Aleix Febas;M;ESP;N;30;D;N;Pas;Agi;0
Carles Pérez;P;ESP;N;28;E;N;Dri;Vel;0
Couhaib Driouech;P;MAR;N;24;D;N;Dri;Vel;0
Hugo González;P;ESP;N;23;D;N;Fin;Cri;0
Hugo Álvarez;P;ESP;N;23;D;N;Dri;Cri;0
Jones El-Abdellaoui;P;MAR;N;20;D;N;Pas;Res;0
Williot Swedberg;P;SWE;N;22;D;N;Fin;Vel;0
Borja Iglesias;A;ESP;N;33;D;S;Fin;Vel;0
Ferran Jutglà;A;ESP;N;27;D;S;Fin;Vel;0
Iago Aspas;A;ESP;S;39;E;S;Chu;Fri;0
Pablo Durán;A;ESP;N;25;D;N;Chu;Vel;0
