Ümraniyespor;TUR;61;Ümraniye Şehir Stadyumu;Tayfun Rıdvan Albayrak;TUR;DA291C;F2F2F2;3000
Cihan Topaloğlu;G;TUR;N;34;E;S;Sgo;Imp;0
Özgün Ali Köklü;G;TUR;N;28;D;N;Col;Fle;0
Ali Yaşar;L;TUR;N;31;E;S;Mar;Vel;0
Emirhan Balarısı;L;TUR;N;20;D;N;Mar;Res;0
Emre Gedik;L;TUR;N;27;E;N;Mar;Agi;0
Oğuz Yıldırım;L;TUR;N;31;D;S;Cru;Vel;0
Yağız Can;L;TUR;N;16;E;N;Pas;Vel;0
Yunus Emre Yılmaz;L;TUR;N;20;E;N;Pas;Vel;0
Batuhan Çakır;Z;TUR;N;25;D;N;Ant;Vel;0
Mustafa Arda Kartal;Z;TUR;N;21;D;N;Des;Res;0
Mustafa Eser;Z;TUR;N;24;D;S;Des;Vel;0
Tomislav Glumac;Z;HRV;N;35;E;S;Pos;Imp;0
Andrej Djokanovic;V;BIH;N;25;D;S;Des;Vis;0
Berat Yılmaz;V;TUR;N;20;D;N;Chu;Agi;0
Muhammet Fatih Karasu;V;TUR;N;20;D;N;Mar;Agi;0
Serkan Göksu;V;TUR;N;33;D;S;Pas;Agi;0
Atalay Babacan;M;TUR;N;26;E;N;Pas;Res;0
Kerem Şen;M;TUR;N;24;D;S;Pas;Agi;0
Oğuzhan Aydoğan;M;DEU;N;29;D;N;Pas;Vis;0
Yusuf Deniz Şaş;M;TUR;N;20;E;N;Pas;Agi;0
Cebio Soukou;P;BEN;N;33;D;S;Fin;Vel;0
Santeri Hostikka;P;FIN;N;28;D;S;Arm;Cri;0
Talha Bartu Özdemir;P;TUR;N;19;E;N;Pas;Res;0
Tunahan Taşçı;P;TUR;N;24;E;N;Pas;Vel;0
Álex Blanco;P;ESP;N;27;E;N;Pas;Vel;0
Deniz Aksoy;A;TUR;N;19;D;N;Pas;Res;0
Melih Bostan;A;TUR;N;22;D;S;Pas;For;0
