Desportes Tolima;COL;82;Manuel Murillo Toro;Sebastián Oliveros;COL;E0B82A;882E2E;28000
Miguel Ortega;G;MEX;N;31;D;N;Ref;Con;0
Neto Volpi;G;BRA;N;34;D;S;Rbo;Imp;0
Cristian Arrieta;L;COL;N;30;D;S;Cru;Vel;0
Jherson Mosquera;L;COL;N;26;D;N;Mar;Res;0
Junior Hernández;L;COL;N;27;E;S;Pas;Vel;0
Shean Barbosa;L;COL;N;22;E;N;Des;Ace;0
Anderson Angulo;Z;COL;N;30;D;S;Cab;Res;0
Daniel Pedrozo;Z;COL;N;22;E;N;Mar;Vel;0
Jan Ángulo;Z;COL;N;25;D;S;Des;Imp;0
Juan José Mera;Z;COL;N;24;D;N;Ant;For;0
Yordan Osorio;Z;VEN;N;32;D;N;Mar;Con;0
Brayan Rovira;V;COL;N;29;D;S;Chu;For;0
Cristian Trujillo;V;COL;N;28;D;S;Mar;Res;0
Homer Martínez;V;COL;N;28;D;N;Des;Agi;0
Sebastián Guzmán;V;COL;N;29;D;S;Pas;Vis;0
Luis Sánchez;M;COL;N;25;D;N;Dri;Agi;0
Edwar López;P;COL;S;31;D;S;Fin;Ace;0
Ever Valencia;P;COL;N;29;E;N;Cru;Agi;0
Kelvin Flórez;P;COL;N;22;D;N;Arm;Cri;0
Adrián Parra;A;COL;N;29;D;S;Fin;Imp;0
Jader Valencia;A;COL;N;26;E;N;Cab;For;0
Jeinner Fuentes;A;COL;N;21;D;N;Dri;Res;0
Jorge Hurtado;A;COL;N;22;D;N;Fin;Vel;0
Luis Sandoval;A;COL;S;27;D;S;Pas;Fri;0
Sergio Aguayo;A;MEX;N;23;D;N;Chu;Res;0
