Tristan Suarez;ARG;68;20 de Octubre;José María Martínez;ARG;14132E;FFFFFF;7500
Daniel Monllor;G;ARG;N;41;D;N;Col;For;0
Joaquin Bigo;G;ARG;N;27;E;S;Ref;Con;0
Joaquín Mendive;G;ARG;N;29;D;N;Sgo;Imp;0
Marcos Funes;G;ARG;N;27;D;N;Rbo;Fri;0
Alejandro Molina;L;ARG;N;28;D;S;Cru;Agi;0
Ayrton Sánchez;L;ARG;N;25;E;N;Mar;Res;0
Brian Aguilar;L;ARG;N;22;D;S;Pos;Ace;0
Manuel Guillén;L;ARG;N;24;D;N;Mar;For;0
Matías Olguín;L;ARG;N;24;D;S;Des;Res;0
Nicolás Fernández;L;ARG;N;30;E;S;Pas;Agi;0
Nicolás Henry;L;ARG;N;27;E;N;Cru;For;0
Lucas Meza;Z;ARG;N;33;D;N;Des;For;0
Mauricio Guzmán;Z;ARG;N;26;D;N;Pos;Vel;0
Agustin Baldi;V;ARG;N;23;E;S;Ant;Con;0
Máximo Ferulano;V;ARG;N;21;D;N;Des;Agi;0
Romero Trabastoni;V;ARG;N;22;D;N;Pas;Vis;0
Kevin Colli;M;ARG;N;22;D;N;Pas;Agi;0
Marcos Enrique;M;ARG;N;26;D;N;Dri;Cri;0
Maximiliano Luayza;M;ARG;N;23;D;N;Fin;Cri;0
Nicolás Del Priore;M;ARG;N;29;D;S;Dri;Agi;0
Nicolás Sánchez;M;ARG;N;34;A;S;Chu;Vis;0
Augusto Berrondo;P;ARG;N;26;D;N;Fin;Cri;0
Diego Becker;P;ARG;N;28;E;S;Pas;Res;0
Jonathan Berón;P;ARG;N;23;D;S;Arm;Cri;0
Renzo Conechny;P;ARG;N;24;D;S;Cru;Res;0
Santiago Magnotta;P;ARG;N;22;D;N;Pas;Vel;0
Sebastián Ramírez;P;ARG;N;25;D;N;Cru;Res;0
Agustín Gallo;A;ARG;N;27;D;N;Dri;Fri;0
Maximiliano Álvarez;A;ARG;N;29;D;N;Pas;Imp;0
