Nantes;FRA;72;Stade de la Beaujoire;Michel Der Zakarian;ARM;FCD405;1B8F3A;35000
Alexis Mirbach;G;FRA;N;21;D;N;Col;Fri;0
Maxime Dupé;G;FRA;N;33;D;S;Ref;Imp;0
Fabien Centonze;L;FRA;N;30;D;S;Cru;Vel;0
Fodé Doucouré;L;MLI;N;25;D;N;Des;Res;0
Frédéric Guilbert;L;FRA;N;31;D;N;Pos;Ace;0
Kelvin Amian;L;FRA;N;28;D;S;Mar;Res;0
Louka Gautier;L;FRA;N;20;E;N;Cru;Res;0
Ali Youssif;Z;LBY;N;25;D;S;Cab;Con;0
Lucas Perrin;Z;FRA;N;27;D;N;Ant;Imp;0
Saïdou Sow;Z;GIN;N;24;D;N;Ant;Imp;0
Sékou Doucouré;Z;MLI;N;21;D;N;Des;Vel;0
Tylel Tati;Z;FRA;N;18;E;S;Pos;Res;0
Bahmed Deuff;V;FRA;N;20;D;N;Mar;For;0
Balthazar Pierret;V;FRA;N;26;E;N;Chu;Vis;0
Ibrahima Sissoko;V;MLI;N;28;D;N;Des;Agi;0
Johann Lepenant;V;FRA;N;23;D;S;Chu;Vis;0
Lamine Diack;V;SEN;N;25;D;N;Des;For;0
Sacha Ziani;V;FRA;N;23;D;N;Pas;Res;0
Amin Cherni;M;TUN;N;25;E;S;Pas;Vis;0
Dehmaine Tabibou;M;FRA;N;21;E;S;Dri;Cri;0
Louis Leroux;M;FRA;N;20;E;S;Fin;Agi;0
Ryad Hachem;M;FRA;N;28;E;S;Dri;Fri;0
Wilitty Younoussa;M;CMR;N;24;D;N;Dri;Cri;0
Antoine Joujou;P;FRA;N;23;D;N;Dri;Ace;0
Mathieu Cafaro;P;FRA;N;29;D;N;Dri;Agi;0
Moustapha Dabo;P;FRA;N;18;E;N;Arm;Vel;0
Yassine Benhattab;P;FRA;N;23;E;N;Cru;Vel;0
Ignatius Ganago;A;CMR;N;27;D;S;Pas;Imp;0
Killian Corredor;A;FRA;N;25;D;N;Chu;Fri;0
Thomas Robinet;A;FRA;N;29;D;N;Pas;For;0
