Catanzaro;ITA;74;Nicola Ceravolo;Giorgio Gorgone;ITA;FFE226;E80303;14500
Christian Marietta;G;ITA;N;24;D;N;Ref;Fle;0
Edoardo Borrelli;G;ITA;N;21;D;N;Col;Con;0
Mirko Pigliacelli;G;ITA;N;33;D;S;Rbo;Fri;0
Antonio Candela;L;ITA;N;26;D;S;Pos;Res;0
Mehdi Dorval;L;DZA;N;25;A;N;Cru;Vel;0
Ruggero Frosinini;L;ITA;N;25;D;S;Cru;Res;0
Bruno Verrengia;Z;ITA;N;22;E;N;Ant;Vel;0
Marco Ruggero;Z;ITA;N;26;D;N;Cab;For;0
Matias Antonini;Z;BRA;N;28;D;S;Cab;Imp;0
Niccolò Postiglione;Z;ITA;N;21;D;N;Cab;Con;0
Raul Tassoni;Z;ITA;N;19;D;N;Pos;For;0
Jacopo Petriccione;V;ITA;N;31;D;S;Pas;Vis;0
Francesco Maiolo;M;ITA;N;20;D;N;Pas;Agi;0
Gabriele Alesi;M;ITA;N;22;D;N;Dri;Cri;0
Nicola Mosti;M;ITA;N;28;E;S;Chu;Cri;0
Simone Pafundi;M;ITA;N;20;E;N;Arm;Agi;0
Federico Di Francesco;P;ITA;N;32;D;S;Dri;Vel;0
Marco D'Alessandro;P;ITA;N;35;D;S;Pas;Res;0
Sayha Seha;P;MDG;N;21;D;N;Arm;Cri;0
Emanuele Pecorino;A;ITA;N;24;E;S;Cab;For;0
Franck Tchaouna;A;TCD;N;20;D;S;Pas;Vel;0
Gabriel Arditi;A;ITA;N;19;D;N;Fin;Imp;0
N'Dri Koffi;A;CIV;N;24;D;N;Dri;For;0
Nicolò Buso;A;ITA;N;26;D;N;Pas;Vel;0
Pietro Iemmello;A;ITA;N;34;D;S;Fin;Fri;0
Solomon Loubao;A;FRA;N;20;D;N;Fin;For;0
