Colegiales;ARG;56;Libertarios Unidos;Leonardo Fernández;ARG;1C3292;F8EF13;6000
Augusto Alcorcel;G;ARG;N;25;D;N;Col;Fri;0
Emilio Di Fulvio;G;ARG;N;30;E;S;Sgo;Fle;0
Gustavo Calderari;G;ARG;N;22;D;N;Rbo;Con;0
Emanuel Insúa;L;ARG;N;34;E;S;Cru;Agi;0
Franco Hanashiro;L;ARG;N;24;E;S;Pos;Res;0
Franco Malagueño;L;ARG;N;27;D;S;Des;For;0
Nicolás Álvarez;L;ARG;N;36;D;N;Mar;Ace;0
Ezequiel Aguirre;Z;ARG;N;23;E;N;Cab;Con;0
Facundo Rivero;Z;ARG;N;32;A;S;Ant;For;0
Leonel Ortíz;Z;ARG;N;24;D;N;Mar;Imp;0
Montagnoli;Z;ARG;N;38;D;S;Pos;Res;0
Sebastián Silguero;Z;ARG;N;34;D;N;Ant;For;0
Facundo Montiel;V;ARG;N;21;D;N;Pas;Vis;0
Federico Marín;V;ARG;N;27;D;S;Mar;Con;0
Fernando Miranda;V;ARG;N;28;D;N;Chu;Agi;0
Alejandro Chiavetto;M;ARG;N;23;D;S;Fin;Cri;0
Mateo Ramírez;M;ARG;N;31;D;N;Dri;Cri;0
Tomás Almada;M;ARG;N;20;D;N;Arm;Fri;0
Elías Ocampo;P;ARG;N;21;D;S;Dri;Agi;0
Enzo Trinidad;P;ARG;N;29;E;N;Pas;Res;0
Franco Zicarelli;P;ARG;N;23;D;N;Cru;Agi;0
Leonardo González;P;ARG;N;24;D;N;Pas;Res;0
Lucas Ricciotti;P;ARG;N;22;D;N;Arm;Cri;0
Rodrigo Gómez;P;PER;N;22;D;N;Cru;Ace;0
Lucas Juárez;A;ARG;N;20;D;N;Fin;Imp;0
Lucio Castillo;A;ARG;N;24;E;S;Cab;Vel;0
Mateo Mamani;A;ARG;N;23;E;N;Cab;Fri;0
Mauro Albertengo;A;ARG;N;36;D;N;Fin;Imp;0
Nicolás Toloza;A;ARG;N;27;D;S;Pas;Res;0
Rodrigo Monserrat;A;ARG;N;25;D;N;Cab;Fri;0
