Gimnasia de Mendoza;ARG;78;Víctor A. Legrotaglie;Darío Franco;ARG;FFFFFF;000000;14000
César Rigamonti;G;ARG;N;39;D;S;Ref;For;0
Lautaro Petruchi;G;ARG;N;27;D;N;Ref;Con;0
Franco Saavedra;L;ARG;N;22;E;S;Pas;Ace;0
Ismael Cortéz;L;ARG;N;26;D;N;Cru;Vel;0
Juan Franco;L;PRY;N;34;D;N;Mar;For;0
Luciano Paredes;L;ARG;N;23;D;S;Pas;Res;0
Matías Recalde;L;ARG;N;29;E;S;Mar;Ace;0
Diego Mondino;Z;ARG;N;31;D;S;Cab;Con;0
Ezequiel Muñoz;Z;ARG;N;35;D;S;Mar;Con;0
Germán Guiffrey;Z;ARG;N;28;E;N;Pos;Con;0
Gerónimo Patritti;Z;ARG;N;23;D;N;Pos;Con;0
Imanol González;Z;ARG;N;28;E;N;Pos;Res;0
Lautaro Carrera;Z;ARG;N;23;D;N;Des;Vel;0
Fermín Antonini;V;ARG;N;29;D;S;Pas;Vis;0
Esteban Fernández;M;ARG;N;24;D;N;Dri;Vis;0
Julián Ceballos;M;ARG;N;21;E;S;Fin;Res;0
Nahuel Barboza;M;ARG;N;26;D;N;Chu;Fri;0
Tomás O'Connor;M;ARG;N;22;D;N;Pas;Cri;0
Tomás Ortiz;M;ARG;N;26;D;N;Arm;Vis;0
Blas Armoa;P;PRY;N;26;D;N;Fin;Agi;0
Brian Andrada;P;ARG;N;29;E;N;Cru;Res;0
Facundo Lencioni;P;ARG;N;25;E;S;Dri;Ace;0
Ignacio Sabatini;P;ARG;N;27;D;N;Fin;Cri;0
Luciano Cingolani;P;ARG;N;25;D;N;Cru;Agi;0
Matías Vargas;P;ARG;N;29;D;N;Arm;Agi;0
Ulises Sánchez;P;ARG;N;28;D;S;Fin;Ace;0
Agustín Módica;A;ITA;N;23;D;S;Cab;Imp;0
Nicolás Romano;A;ARG;N;26;D;N;Pas;Fri;0
Santiago Rodríguez;A;ARG;N;28;E;N;Chu;Vel;0
Valentino Simoni;A;ARG;N;22;D;N;Pas;Fri;0
