Hull City;ENG;86;MKM Stadium;Sergej Jakirovic;BIH;F5A12D;000000;25500
Dillon Phillips;G;ENG;N;31;D;N;Col;For;0
Jack Butland;G;ENG;N;33;D;S;Ref;Con;0
Konstantinos Tzolakis;G;GRC;N;23;A;N;Ref;Fri;0
Lewie Coyle;L;ENG;N;30;D;S;Des;Res;0
Matt Targett;L;ENG;N;30;E;N;Cru;Res;0
Matty Jacob;L;ENG;N;25;E;N;Pas;Agi;0
Ryan Giles;L;ENG;N;26;E;S;Cru;Vel;0
Charlie Hughes;Z;ENG;N;22;D;S;Ant;Con;0
John Egan;Z;IRL;N;33;D;S;Cab;For;0
Lucas Herrington;Z;AUS;N;18;D;N;Ant;Con;0
Nobel Mendy;Z;SEN;N;21;E;N;Pos;Vel;0
Paddy McNair;Z;NIR;N;31;D;S;Pos;Con;0
Semi Ajayi;Z;NGA;N;32;D;S;Cab;Imp;0
Lucas Gourna-Douath;V;FRA;N;22;D;N;Ant;For;0
Regan Slater;V;ENG;N;26;D;S;Des;Res;0
Óscar Zambrano;V;ECU;N;22;D;N;Pas;Vis;0
Abdülkadir Ömür;M;TUR;N;27;E;N;Dri;Agi;0
Darko Gyabi;M;ENG;N;22;D;N;Dri;Res;0
Eliot Matazo;M;BEL;N;24;D;N;Pas;Agi;0
Elliot Stroud;M;SWE;N;24;E;N;Dri;Res;0
Hidemasa Morita;M;JPN;N;31;D;N;Pas;Agi;0
Ilyas Ansah;M;DEU;N;21;D;N;Chu;Res;0
Jens Hjertø-Dahl;M;NOR;N;20;A;N;Pas;Vis;0
Kieran Dowell;M;ENG;N;28;E;N;Arm;Vis;0
Matt Crooks;M;ENG;N;32;D;S;Fin;Fri;0
David Akintola;P;NGA;N;30;D;S;Dri;Vel;0
Mohamed Belloumi;P;DZA;N;24;E;N;Arm;Ace;0
Mohamed-Ali Cho;P;FRA;N;22;E;N;Dri;Res;0
Joe Gelhardt;A;ENG;N;24;E;N;Fin;For;0
Oli McBurnie;A;SCT;N;30;D;S;Cab;For;0
