Deportivo La Coruña;ESP;83;Abanca Riazor;Antonio Hidalgo;ESP;FFFFFF;56105E;32500
Eric Puerto;G;ESP;N;23;D;N;Rbo;Fle;0
Germán Parreño;G;ESP;N;33;D;S;Ref;Con;0
Leo Román;G;ESP;N;26;D;N;Ref;Fle;0
Álvaro Fernández;G;ESP;N;28;D;N;Ref;Fri;0
Adrià Altimira;L;ESP;N;25;D;N;Cru;Vel;0
Angeliño;L;ESP;N;29;E;N;Cru;For;0
Giacomo Quagliata;L;ITA;N;26;E;S;Cru;Res;0
Miguel Loureiro;L;ESP;N;29;D;S;Des;For;0
Ximo Navarro;L;ESP;N;36;D;N;Mar;For;0
Arnau Comas;Z;ESP;N;26;D;N;Pos;Vel;0
Bright Ede;Z;POL;N;19;E;N;Pos;For;0
Dani Barcia;Z;ESP;N;23;E;S;Cab;Con;0
Lucas Noubi;Z;BEL;N;21;D;N;Des;Vel;0
Lorenzo Amatucci;V;ITA;N;22;D;N;Pas;Res;0
Diego Villares;M;ESP;N;30;D;S;Pas;Res;0
Jairo Noriega;M;ESP;N;22;E;N;Arm;Vis;0
Jonathan Jensen;M;DNK;N;20;D;N;Fin;Cri;0
Mario Soriano;M;ESP;N;24;D;S;Arm;Res;0
Noé Carrillo;M;ESP;N;19;D;N;Pas;Vis;0
Riki Rodríguez;M;ESP;N;28;D;N;Pas;Agi;0
Teun Gijselhart;M;NLD;N;21;D;N;Pas;Vis;0
Adama Traoré;P;ESP;N;30;D;N;Cru;Agi;0
David Mella;P;ESP;N;21;E;S;Dri;Vel;0
Luismi Cruz;P;ESP;N;25;E;S;Arm;Res;0
Rubén López;P;ESP;N;21;E;N;Cru;Res;0
Yeremay Hernández;P;ESP;N;23;D;S;Dri;Cri;0
Aubameyang;A;GAB;S;36;D;S;Pas;Fri;6
Bil Nsongo;A;CMR;N;21;D;N;Fin;For;0
Kevin Sánchez;A;ESP;N;21;D;N;Fin;Vel;0
Zakaria Eddahchouri;A;NLD;N;26;D;S;Fin;Fri;0
