Varzim;PRT;59;Estádio do Varzim SC;Carlos Fernandes;PRT;FFFFFF;000000;7000
Gustavo Ramalho;G;BRA;N;23;E;N;Ref;Fle;0
Momo Mbaye;G;SEN;N;28;D;N;Rbo;Imp;0
Pedro Costa;G;PRT;N;25;D;S;Col;Con;0
Pedro Nélson;G;PRT;N;22;D;N;Sgo;For;0
André Guedes;L;PRT;N;25;E;S;Cru;Ace;0
Gonçalo Pimenta;L;PRT;N;30;D;N;Mar;For;0
Luís Oliveira;L;PRT;N;24;D;S;Pas;Vel;0
Milhazes;L;PRT;N;29;E;N;Pos;Agi;0
Stitch;L;PRT;N;22;E;N;Des;Vel;0
Kauã Vinicius;Z;BRA;N;22;D;S;Des;Vel;0
Miguel Vila Cova;Z;PRT;N;20;D;N;Ant;For;0
Pedro Nuno;Z;PRT;N;26;D;N;Mar;Imp;0
Rúben Fernandes;Z;PRT;N;40;D;S;Pos;Con;0
David Peres;V;BRA;N;22;E;N;Des;Agi;0
Boloto;M;PRT;N;22;D;S;Pas;Vis;0
Diogo Rebelo;M;PRT;N;22;D;S;Arm;Agi;0
Hircane Graça;M;PRT;N;28;E;N;Chu;Res;0
Marcelo Cunha;M;CPV;N;26;D;N;Pas;Cri;0
Rúben Oliveira;M;PRT;N;31;D;S;Pas;Fri;0
Dani Benchi;P;PRT;N;23;E;N;Dri;Agi;0
Jordão Cardoso;P;PRT;N;29;D;N;Fin;Vel;0
João Couto;P;PRT;N;24;D;S;Cru;Vel;0
Pedro Matos;P;PRT;N;29;D;N;Arm;Cri;0
Tim;P;PRT;N;21;D;S;Dri;Ace;0
Francisco Silva;A;PRT;N;23;D;S;Pas;Vel;0
Rodrigo Pereira;A;PRT;N;23;D;N;Fin;For;0
